BULK CARRIER,Date,HANDYSIZE,SMAX/ULTRA,PANAMAX,CAPESIZE,
Week 10,5 Mar 2010,"17,000","29,500","33,000","41,000",Week 10|2010-03-05
Week 11,12 Mar 2010,"17,000","28,500","33,000","37,500",Week 11|2010-03-12
Week 12,19 Mar 2010,"17,000","25,000","30,000","39,000",Week 12|2010-03-19
Week 13,26 Mar 2010,"16,500","24,500","32,500","37,500",Week 13|2010-03-26
Week 14,2 Apr 2010,"17,000","26,500","32,000","37,500",Week 14|2010-04-02
Week 15,9 Apr 2010,"17,000","25,000","31,000","34,500",Week 15|2010-04-09
Week 16,16 Apr 2010,"17,000","25,500","31,000","37,500",Week 16|2010-04-16
Week 17,23 Apr 2010,"17,000","25,000","31,000","37,500",Week 17|2010-04-23
Week 18,30 Apr 2010,"16,750","24,750","31,000","37,500",Week 18|2010-04-30
Week 19,7 May 2010,"17,000","25,000","31,000","37,000",Week 19|2010-05-07
Week 20,14 May 2010,"17,000","25,000","31,250","37,500",Week 20|2010-05-14
Week 21,21 May 2010,"17,000","25,250","31,000","37,750",Week 21|2010-05-21
Week 22,28 May 2010,"17,250","25,000","31,250","37,500",Week 22|2010-05-28
Week 23,4 Jun 2010,"17,000","22,000","24,000","35,000",Week 23|2010-06-04
Week 24,11 Jun 2010,"17,000","22,000","24,000","33,000",Week 24|2010-06-11
Week 25,18 Jun 2010,"16,000","22,000","22,000","30,000",Week 25|2010-06-18
Week 26,25 Jun 2010,"15,500","20,500","20,000","24,000",Week 26|2010-06-25
Week 27,2 Jul 2010,"15,000","20,500","19,000","20,000",Week 27|2010-07-02
Week 28,9 Jul 2010,"15,000","21,000","23,000","25,000",Week 28|2010-07-09
Week 29,16 Jul 2010,"15,000","22,000","23,000","24,000",Week 29|2010-07-16
Week 30,23 Jul 2010,"14,500","20,500","24,000","25,500",Week 30|2010-07-23
Week 31,30 Jul 2010,"14,500","20,500","24,000","25,500",Week 31|2010-07-30
Week 32,6 Aug 2010,"14,500","20,500","24,000","25,500",Week 32|2010-08-06
Week 33,13 Aug 2010,"16,500","24,500","26,000","32,500",Week 33|2010-08-13
Week 34,20 Aug 2010,"16,500","25,000","27,500","37,500",Week 34|2010-08-20
Week 35,27 Aug 2010,"16,500","24,000","25,500","35,500",Week 35|2010-08-27
Week 36,3 Sep 2010,"16,500","24,000","25,500","35,500",Week 36|2010-09-03
Week 37,10 Sep 2010,"15,500","21,000","23,000","32,000",Week 37|2010-09-10
Week 38,17 Sep 2010,"16,250","21,000","24,500","31,500",Week 38|2010-09-17
Week 39,24 Sep 2010,"15,000","20,000","24,000","33,000",Week 39|2010-09-24
Week 40,1 Oct 2010,"15,000","20,000","22,500","34,500",Week 40|2010-10-01
Week 41,8 Oct 2010,"15,000","20,000","22,000","35,500",Week 41|2010-10-08
Week 42,15 Oct 2010,"14,000","19,500","24,000","36,000",Week 42|2010-10-15
Week 43,22 Oct 2010,"13,750","19,000","23,500","35,000",Week 43|2010-10-22
Week 44,29 Oct 2010,"13,750","17,750","22,500","33,000",Week 44|2010-10-29
Week 45,5 Nov 2010,"13,000","16,000","19,500","33,000",Week 45|2010-11-05
Week 46,12 Nov 2010,"13,000","16,000","19,250","27,500",Week 46|2010-11-12
Week 47,19 Nov 2010,"13,000","16,500","19,000","25,000",Week 47|2010-11-19
Week 48,26 Nov 2010,"13,000","16,500","17,750","25,000",Week 48|2010-11-26
Week 49,3 Dec 2010,"12,750","16,000","16,500","24,000",Week 49|2010-12-03
Week 50,10 Dec 2010,"11,000","13,000","15,750","17,000",Week 50|2010-12-10
Week 51,17 Dec 2010,"11,000","13,000","15,750","17,000",Week 51|2010-12-17
Week 52,24 Dec 2010,"11,000","13,000","15,750","17,000",Week 52|2010-12-24
Week 1,1 Jan 2011,"11,000","13,000","15,750","17,000",Week 1|2011-01-01
Week 2,8 Jan 2011,"10,500","13,500","15,500","16,500",Week 2|2011-01-08
Week 3,15 Jan 2011,"10,500","13,500","15,500","16,500",Week 3|2011-01-15
Week 4,22 Jan 2011,"10,500","12,500","15,500","16,000",Week 4|2011-01-22
Week 5,29 Jan 2011,"10,500","13,500","17,000","16,000",Week 5|2011-01-29
Week 6,5 Feb 2011,"10,500","15,250","17,500","16,000",Week 6|2011-02-05
Week 7,12 Feb 2011,"11,000","15,750","16,250","15,000",Week 7|2011-02-12
Week 8,19 Feb 2011,"11,500","17,000","17,250","12,000",Week 8|2011-02-19
Week 9,26 Feb 2011,"11,750","17,500","18,250","17,500",Week 9|2011-02-26
Week 10,5 Mar 2011,"13,500","16,500","18,000","14,000",Week 10|2011-03-05
Week 11,12 Mar 2011,"13,250","16,250","17,500","15,500",Week 11|2011-03-12
Week 12,19 Mar 2011,"13,250","16,250","17,500","15,500",Week 12|2011-03-19
Week 13,26 Mar 2011,"12,750","16,000","17,000","15,500",Week 13|2011-03-26
Week 14,2 Apr 2011,"13,000","16,000","14,250","14,500",Week 14|2011-04-02
Week 15,9 Apr 2011,"12,500","15,500","12,500","12,000",Week 15|2011-04-09
Week 16,16 Apr 2011,"12,500","15,500","12,500","12,000",Week 16|2011-04-16
Week 17,23 Apr 2011,"13,000","15,000","14,500","12,500",Week 17|2011-04-23
Week 18,30 Apr 2011,"13,000","15,250","15,000","12,500",Week 18|2011-04-30
Week 19,7 May 2011,"13,000","15,250","15,000","12,500",Week 19|2011-05-07
Week 20,14 May 2011,"13,000","15,250","15,000","12,500",Week 20|2011-05-14
Week 21,21 May 2011,"12,500","15,000","15,000","10,500",Week 21|2011-05-21
Week 22,28 May 2011,"11,500","14,500","14,500","10,250",Week 22|2011-05-28
Week 23,4 Jun 2011,"11,750","14,500","15,000","11,000",Week 23|2011-06-04
Week 24,11 Jun 2011,"11,500","13,750","13,000","11,750",Week 24|2011-06-11
Week 25,18 Jun 2011,"11,500","13,750","12,750","12,500",Week 25|2011-06-18
Week 26,25 Jun 2011,"11,500","13,750","12,250","12,500",Week 26|2011-06-25
Week 27,2 Jul 2011,"11,000","13,000","11,750","11,750",Week 27|2011-07-02
Week 28,9 Jul 2011,"11,000","13,000","11,250","11,500",Week 28|2011-07-09
Week 29,16 Jul 2011,"10,500","13,000","11,500","11,250",Week 29|2011-07-16
Week 30,23 Jul 2011,"10,000","13,000","11,000","10,500",Week 30|2011-07-23
Week 31,30 Jul 2011,"10,000","14,000","12,000","11,500",Week 31|2011-07-30
Week 32,6 Aug 2011,"10,250","14,500","13,500","16,000",Week 32|2011-08-06
Week 33,13 Aug 2011,"10,500","14,000","13,500","19,000",Week 33|2011-08-13
Week 34,20 Aug 2011,"11,000","14,500","14,000","19,000",Week 34|2011-08-20
Week 35,27 Aug 2011,"12,250","14,500","13,000","18,000",Week 35|2011-08-27
Week 36,3 Sep 2011,"12,250","14,500","13,000","18,000",Week 36|2011-09-03
Week 37,10 Sep 2011,"12,000","15,250","12,750","18,000",Week 37|2011-09-10
Week 38,17 Sep 2011,"12,000","15,000","14,000","18,000",Week 38|2011-09-17
Week 39,24 Sep 2011,"12,000","14,750","14,250","19,000",Week 39|2011-09-24
Week 40,1 Oct 2011,"12,000","14,500","14,250","19,000",Week 40|2011-10-01
Week 41,8 Oct 2011,"11,250","14,000","13,000","19,000",Week 41|2011-10-08
Week 42,15 Oct 2011,"10,000","12,000","13,000","16,500",Week 42|2011-10-15
Week 43,22 Oct 2011,"9,000","12,000","13,000","18,000",Week 43|2011-10-22
Week 44,29 Oct 2011,"8,500","12,000","12,750","17,750",Week 44|2011-10-29
Week 45,5 Nov 2011,"8,500","12,000","12,750","17,750",Week 45|2011-11-05
Week 46,12 Nov 2011,"9,000","11,000","12,000","19,000",Week 46|2011-11-12
Week 47,19 Nov 2011,"8,000","11,000","12,750","22,000",Week 47|2011-11-19
Week 48,26 Nov 2011,"8,000","11,000","12,750","21,000",Week 48|2011-11-26
Week 1,1 Jan 2012,"8,000","11,000","12,000","15,000",Week 1|2012-01-01
Week 2,8 Jan 2012,"8,500","11,000","11,250","15,000",Week 2|2012-01-08
Week 3,15 Jan 2012,"7,500","10,000","10,000","12,750",Week 3|2012-01-15
Week 4,22 Jan 2012,"7,500","9,500","10,000","12,750",Week 4|2012-01-22
Week 5,29 Jan 2012,"7,000","8,000","10,000","11,000",Week 5|2012-01-29
Week 6,5 Feb 2012,"7,000","9,500","10,250","11,000",Week 6|2012-02-05
Week 7,12 Feb 2012,"7,000","9,500","10,250","11,000",Week 7|2012-02-12
Week 8,19 Feb 2012,"7,000","9,500","10,250","11,000",Week 8|2012-02-19
Week 9,26 Feb 2012,"7,500","10,000","10,500","11,000",Week 9|2012-02-26
Week 10,4 Mar 2012,"8,000","11,000","11,250","11,500",Week 10|2012-03-04
Week 11,11 Mar 2012,"8,500","12,000","11,500","11,500",Week 11|2012-03-11
Week 12,18 Mar 2012,"8,500","12,250","12,000","11,000",Week 12|2012-03-18
Week 13,25 Mar 2012,"8,750","12,250","12,000","11,000",Week 13|2012-03-25
Week 14,1 Apr 2012,"8,750","12,000","12,000","11,500",Week 14|2012-04-01
Week 15,8 Apr 2012,"9,500","12,250","12,750","11,250",Week 15|2012-04-08
Week 16,15 Apr 2012,"8,750","12,000","12,250","11,750",Week 16|2012-04-15
Week 17,22 Apr 2012,"9,000","12,000","12,500","11,500",Week 17|2012-04-22
Week 18,29 Apr 2012,"9,750","12,250","12,500","11,250",Week 18|2012-04-29
Week 19,6 May 2012,"9,750","12,500","13,000","11,250",Week 19|2012-05-06
Week 20,13 May 2012,"9,000","12,150","11,000","11,250",Week 20|2012-05-13
Week 21,20 May 2012,"9,500","12,200","11,000","11,250",Week 21|2012-05-20
Week 22,27 May 2012,"9,750","12,250","11,000","11,000",Week 22|2012-05-27
Week 23,3 Jun 2012,"9,750","11,500","11,000","11,000",Week 23|2012-06-03
Week 24,10 Jun 2012,"9,250","11,000","10,000","10,750",Week 24|2012-06-10
Week 25,17 Jun 2012,"9,250","10,750","10,000","10,750",Week 25|2012-06-17
Week 26,24 Jun 2012,"9,250","10,750","10,000","10,500",Week 26|2012-06-24
Week 27,1 Jul 2012,"9,250","10,500","9,500","9,250",Week 27|2012-07-01
Week 28,8 Jul 2012,"9,250","10,750","10,000","10,500",Week 28|2012-07-08
Week 29,15 Jul 2012,"9,250","13,600","11,875","16,000",Week 29|2012-07-15
Week 30,22 Jul 2012,"9,250","14,000","12,500","13,500",Week 30|2012-07-22
Week 31,29 Jul 2012,"8,500","13,250","12,250","12,250",Week 31|2012-07-29
Week 32,5 Aug 2012,"9,000","12,750","11,750","13,000",Week 32|2012-08-05
Week 33,12 Aug 2012,"9,000","12,250","11,250","11,250",Week 33|2012-08-12
Week 34,19 Aug 2012,"9,000","9,000","9,000","9,250",Week 34|2012-08-19
Week 35,26 Aug 2012,"8,500","8,750","9,000","9,150",Week 35|2012-08-26
Week 36,2 Sep 2012,"8,500","8,250","8,500","9,150",Week 36|2012-09-02
Week 37,9 Sep 2012,"8,000","8,000","7,250","9,000",Week 37|2012-09-09
Week 38,16 Sep 2012,"8,500","9,500","7,000","8,500",Week 38|2012-09-16
Week 39,23 Sep 2012,"8,500","10,250","6,500","9,000",Week 39|2012-09-23
Week 40,30 Sep 2012,"8,500","10,250","6,800","13,750",Week 40|2012-09-30
Week 41,7 Oct 2012,"8,500","10,000","6,800","13,750",Week 41|2012-10-07
Week 42,14 Oct 2012,"8,500","9,000","7,250","12,500",Week 42|2012-10-14
Week 43,21 Oct 2012,"8,250","8,500","7,750","13,000",Week 43|2012-10-21
Week 44,28 Oct 2012,"8,250","8,500","7,250","17,500",Week 44|2012-10-28
Week 45,4 Nov 2012,"7,750","8,500","7,250","14,750",Week 45|2012-11-04
Week 46,11 Nov 2012,"7,750","8,500","7,350","13,000",Week 46|2012-11-11
Week 47,18 Nov 2012,"7,750","9,250","7,500","13,000",Week 47|2012-11-18
Week 48,25 Nov 2012,"7,750","9,350","7,500","13,000",Week 48|2012-11-25
Week 49,2 Dec 2012,"7,750","9,500","7,500","13,000",Week 49|2012-12-02
Week 50,9 Dec 2012,"7,250","9,000","7,250","13,000",Week 50|2012-12-09
Week 51,16 Dec 2012,"7,250","8,750","7,000","9,250",Week 51|2012-12-16
Week 1,1 Jan 2013,"7,250","8,750","7,000","9,250",Week 1|2013-01-01
Week 2,8 Jan 2013,"7,250","8,750","7,000","9,250",Week 2|2013-01-08
Week 3,15 Jan 2013,"7,500","8,500","7,000","9,250",Week 3|2013-01-15
Week 4,22 Jan 2013,"7,500","8,250","7,250","9,250",Week 4|2013-01-22
Week 5,29 Jan 2013,"7,500","8,500","7,000","9,250",Week 5|2013-01-29
Week 6,5 Feb 2013,"7,500","8,500","6,500","9,250",Week 6|2013-02-05
Week 7,12 Feb 2013,"7,500","8,350","6,850","9,250",Week 7|2013-02-12
Week 8,19 Feb 2013,"7,500","8,500","7,750","9,250",Week 8|2013-02-19
Week 9,26 Feb 2013,"6,000","8,500","8,250","9,250",Week 9|2013-02-26
Week 10,5 Mar 2013,"6,500","9,000","9,750","9,250",Week 10|2013-03-05
Week 11,12 Mar 2013,"7,000","9,500","9,750","9,250",Week 11|2013-03-12
Week 12,19 Mar 2013,"7,000","9,500","9,750","9,750",Week 12|2013-03-19
Week 13,26 Mar 2013,"8,000","9,500","9,750","9,750",Week 13|2013-03-26
Week 14,2 Apr 2013,"8,000","9,500","9,750","9,750",Week 14|2013-04-02
Week 15,9 Apr 2013,"7,850","9,500","9,500","9,750",Week 15|2013-04-09
Week 16,16 Apr 2013,"7,850","9,500","10,000","9,750",Week 16|2013-04-16
Week 17,23 Apr 2013,"7,850","9,500","9,500","9,750",Week 17|2013-04-23
Week 18,30 Apr 2013,"7,850","9,500","9,250","9,750",Week 18|2013-04-30
Week 19,7 May 2013,"7,750","9,500","8,500","9,750",Week 19|2013-05-07
Week 20,14 May 2013,"7,500","9,250","8,500","9,750",Week 20|2013-05-14
Week 21,21 May 2013,"7,250","9,250","8,500","9,750",Week 21|2013-05-21
Week 22,28 May 2013,"7,250","9,500","8,350","9,750",Week 22|2013-05-28
Week 23,4 Jun 2013,"7,250","9,350","8,500","9,750",Week 23|2013-06-04
Week 24,11 Jun 2013,"7,250","9,300","8,000","10,500",Week 24|2013-06-11
Week 25,18 Jun 2013,"7,350","9,300","8,150","10,500",Week 25|2013-06-18
Week 26,25 Jun 2013,"7,500","9,000","7,850","11,500",Week 26|2013-06-25
Week 27,2 Jul 2013,"7,500","9,250","8,000","11,500",Week 27|2013-07-02
Week 28,9 Jul 2013,"7,500","9,150","8,100","12,000",Week 28|2013-07-09
Week 29,16 Jul 2013,"7,500","9,150","9,000","12,000",Week 29|2013-07-16
Week 30,23 Jul 2013,"7,500","8,850","9,000","12,500",Week 30|2013-07-23
Week 31,30 Jul 2013,"7,500","8,500","8,750","12,250",Week 31|2013-07-30
Week 32,6 Aug 2013,"7,500","8,500","8,750","12,250",Week 32|2013-08-06
Week 33,13 Aug 2013,"7,500","8,500","8,750","12,250",Week 33|2013-08-13
Week 34,20 Aug 2013,"7,500","8,800","8,750","14,250",Week 34|2013-08-20
Week 35,27 Aug 2013,"7,500","8,800","8,750","14,250",Week 35|2013-08-27
Week 36,3 Sep 2013,"7,850","9,250","9,100","14,850",Week 36|2013-09-03
Week 37,10 Sep 2013,"8,000","9,250","9,250","15,500",Week 37|2013-09-10
Week 38,17 Sep 2013,"8,850","10,000","10,200","18,500",Week 38|2013-09-17
Week 39,24 Sep 2013,"8,850","10,250","10,850","20,000",Week 39|2013-09-24
Week 40,1 Oct 2013,"8,950","10,750","11,750","21,000",Week 40|2013-10-01
Week 41,8 Oct 2013,"9,000","10,750","12,000","20,750",Week 41|2013-10-08
Week 42,15 Oct 2013,"9,000","11,000","13,000","20,250",Week 42|2013-10-15
Week 43,22 Oct 2013,"8,250","11,250","15,500","20,250",Week 43|2013-10-22
Week 44,29 Oct 2013,"8,250","11,250","15,000","20,000",Week 44|2013-10-29
Week 45,5 Nov 2013,"8,500","11,750","13,500","17,500",Week 45|2013-11-05
Week 46,12 Nov 2013,"8,750","12,000","13,000","17,850",Week 46|2013-11-12
Week 47,19 Nov 2013,"8,850","12,550","11,300","15,500",Week 47|2013-11-19
Week 48,26 Nov 2013,"9,000","12,250","12,000","16,750",Week 48|2013-11-26
Week 49,3 Dec 2013,"9,500","13,250","12,750","17,000",Week 49|2013-12-03
Week 50,10 Dec 2013,"9,500","13,250","13,500","19,000",Week 50|2013-12-10
Week 51,17 Dec 2013,"9,500","13,150","13,400","18,800",Week 51|2013-12-17
Week 52,24 Dec 2013,"9,500","13,150","13,400","18,800",Week 52|2013-12-24
Week 1,1 Jan 2014,"9,500","12,000","12,250","16,500",Week 1|2014-01-01
Week 2,8 Jan 2014,"9,000","11,500","12,500","16,500",Week 2|2014-01-08
Week 3,15 Jan 2014,"9,000","11,500","12,500","17,500",Week 3|2014-01-15
Week 4,22 Jan 2014,"9,000","11,000","12,500","18,000",Week 4|2014-01-22
Week 5,29 Jan 2014,"9,000","12,000","13,500","19,000",Week 5|2014-01-29
Week 6,5 Feb 2014,"9,250","12,250","13,500","22,000",Week 6|2014-02-05
Week 7,12 Feb 2014,"9,500","12,450","13,500","22,000",Week 7|2014-02-12
Week 8,19 Feb 2014,"9,750","13,000","13,500","22,500",Week 8|2014-02-19
Week 9,26 Feb 2014,"10,000","13,750","13,500","26,500",Week 9|2014-02-26
Week 10,5 Mar 2014,"10,100","14,100","13,750","27,750",Week 10|2014-03-05
Week 11,12 Mar 2014,"10,550","14,200","14,150","27,850",Week 11|2014-03-12
Week 12,19 Mar 2014,"10,550","14,100","13,950","27,850",Week 12|2014-03-19
Week 13,26 Mar 2014,"10,000","13,850","13,000","26,000",Week 13|2014-03-26
Week 14,2 Apr 2014,"10,000","13,150","13,000","25,250",Week 14|2014-04-02
Week 15,9 Apr 2014,"10,000","12,800","12,750","23,500",Week 15|2014-04-09
Week 16,16 Apr 2014,"10,000","12,800","12,750","23,500",Week 16|2014-04-16
Week 17,23 Apr 2014,"10,000","12,800","12,750","23,850",Week 17|2014-04-23
Week 18,30 Apr 2014,"9,950","12,550","12,850","23,000",Week 18|2014-04-30
Week 19,7 May 2014,"9,950","12,200","12,500","22,500",Week 19|2014-05-07
Week 20,14 May 2014,"9,950","12,000","11,500","23,250",Week 20|2014-05-14
Week 21,21 May 2014,"9,950","12,000","11,500","23,250",Week 21|2014-05-21
Week 22,28 May 2014,"9,350","11,250","11,000","22,750",Week 22|2014-05-28
Week 23,4 Jun 2014,"8,750","10,250","9,850","22,750",Week 23|2014-06-04
Week 24,11 Jun 2014,"8,500","10,000","9,000","22,000",Week 24|2014-06-11
Week 25,18 Jun 2014,"8,250","10,000","9,350","21,500",Week 25|2014-06-18
Week 26,25 Jun 2014,"8,000","10,000","9,250","21,150",Week 26|2014-06-25
Week 27,2 Jul 2014,"7,350","8,250","8,500","20,500",Week 27|2014-07-02
Week 28,9 Jul 2014,"7,350","9,000","8,500","20,500",Week 28|2014-07-09
Week 29,16 Jul 2014,"7,250","10,000","8,500","20,500",Week 29|2014-07-16
Week 30,23 Jul 2014,"7,250","10,350","8,250","19,500",Week 30|2014-07-23
Week 31,30 Jul 2014,"7,500","10,450","9,250","19,900",Week 31|2014-07-30
Week 32,6 Aug 2014,"7,700","10,750","9,750","21,000",Week 32|2014-08-06
Week 33,13 Aug 2014,"8,000","10,750","9,350","22,000",Week 33|2014-08-13
Week 34,20 Aug 2014,"8,000","10,850","9,500","22,000",Week 34|2014-08-20
Week 35,27 Aug 2014,"8,150","10,850","9,500","22,000",Week 35|2014-08-27
Week 36,3 Sep 2014,"8,750","10,850","9,500","20,500",Week 36|2014-09-03
Week 37,10 Sep 2014,"9,000","12,000","9,250","20,000",Week 37|2014-09-10
Week 38,17 Sep 2014,"9,000","12,000","9,550","20,000",Week 38|2014-09-17
Week 39,24 Sep 2014,"8,950","10,750","9,150","17,500",Week 39|2014-09-24
Week 40,1 Oct 2014,"8,750","10,750","9,450","15,500",Week 40|2014-10-01
Week 41,8 Oct 2014,"8,450","10,150","9,750","18,000",Week 41|2014-10-08
Week 42,15 Oct 2014,"8,250","10,000","10,000","20,000",Week 42|2014-10-15
Week 43,22 Oct 2014,"8,000","9,850","9,850","20,500",Week 43|2014-10-22
Week 44,29 Oct 2014,"8,000","9,450","9,550","20,500",Week 44|2014-10-29
Week 45,5 Nov 2014,"8,000","9,650","9,550","20,500",Week 45|2014-11-05
Week 46,12 Nov 2014,"7,950","10,000","10,000","17,000",Week 46|2014-11-12
Week 47,19 Nov 2014,"7,950","9,850","10,000","15,000",Week 47|2014-11-19
Week 48,26 Nov 2014,"7,950","9,800","9,750","14,000",Week 48|2014-11-26
