fund,prev_date,date,reconciliation_status,nav_sh_prev,nav_sh_curr,r_official_pct,prior_total_fund_nav_dollars,futures_vm_retained_dollars,simulated_fund_ret_pct,tracking_diff_pct,retained_contracts_count,closed_contracts_count,opened_contracts_count,closed_notional_dollars,opened_notional_dollars,retained_base_notional_dollars
BDRY,2026-07-27,2026-07-28,UNRECONCILED_MISSING_DAILY_NAV,12.52,12.76,1.9169329073482444,,-427820.0,,,18,0,0,0.0,0.0,35337905.0
BDRY,2026-07-28,2026-07-29,UNRECONCILED_MISSING_DAILY_NAV,12.76,12.93,1.332288401253918,,517900.0,,,18,0,0,0.0,0.0,34910085.0
BDRY,2026-07-29,2026-07-30,UNRECONCILED_MISSING_DAILY_NAV,12.93,13.37,3.4029389017788048,,376270.0,,,18,0,0,0.0,0.0,36238075.0
BDRY,2026-07-30,2026-07-31,UNRECONCILED_MISSING_DAILY_NAV,13.37,,,,972165.0,,,18,0,0,0.0,0.0,37209125.0
BDRY,2026-07-31,2026-08-03,UNRECONCILED_MISSING_DAILY_NAV,,13.89,,,278685.0,,,15,3,0,10501780.0,0.0,28575580.0
BDRY,2026-08-03,2026-08-04,UNRECONCILED_MISSING_DAILY_NAV,13.89,14.07,1.2958963282937344,,860685.0,,,15,0,0,0.0,0.0,29411195.0
BDRY,2026-08-04,2026-08-05,UNRECONCILED_MISSING_DAILY_NAV,14.07,14.14,0.4975124378109473,,405990.0,,,15,0,0,0.0,0.0,30271880.0
BDRY,2026-08-05,2026-08-07,UNRECONCILED_MISSING_DAILY_NAV,14.14,13.82,-2.263083451202265,,-411345.0,,,15,0,0,0.0,0.0,30677870.0
BDRY,2026-08-07,2026-08-10,UNRECONCILED_MISSING_DAILY_NAV,13.82,13.87,0.36179450072358127,,-115355.0,,,15,0,0,0.0,0.0,31435860.0
BDRY,2026-08-10,2026-08-11,UNRECONCILED_MISSING_DAILY_NAV,13.87,13.79,-0.5767844268204764,,106590.0,,,15,0,0,0.0,0.0,31320505.0
BDRY,2026-08-11,2026-08-12,UNRECONCILED_MISSING_DAILY_NAV,13.79,13.83,0.29006526468456073,,-186975.0,,,15,0,0,0.0,0.0,31427095.0
BDRY,2026-08-12,2026-08-13,UNRECONCILED_MISSING_DAILY_NAV,13.83,,,,96525.0,,,15,0,0,0.0,0.0,32972790.0
