date,Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
2026-06-25,Capesize 5TC FFA 180kt Timecharter Average M Jul 26,C5TCM N26 INDEX,C5TCM N26,155.0,28875.0,4475625.0,14.58%
2026-06-25,Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,155.0,30325.0,4700375.0,15.31%
2026-06-25,Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,32768.0,5079040.0,16.54%
2026-06-25,Panamax 5TC FFA 82kt Timecharter Average M Jun 26,P5TCM M26 INDEX,P5TCM M26,275.0,19600.0,5390000.0,17.56%
2026-06-25,Panamax 5TC FFA 82kt Timecharter Average M Jul 26,P5TCM N26 INDEX,P5TCM N26,200.0,19336.0,3867200.0,12.60%
2026-06-25,Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,200.0,19371.0,3874200.0,12.62%
2026-06-25,Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,200.0,19311.0,3862200.0,12.58%
2026-06-25,Supramax 58 TC FFA 58kt Timecharter Average M Jun 26,S58FM M26 INDEX,S58FM M26,75.0,18825.0,1411875.0,4.60%
2026-06-25,Supramax 58 TC FFA 58kt Timecharter Average M Jul 26,S58FM N26 INDEX,S58FM N26,55.0,18329.0,1008095.0,3.28%
2026-06-25,Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,17843.0,981365.0,3.20%
2026-06-25,Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,17579.0,966845.0,3.15%
2026-06-25,Cash & Other,Cash&Other,Cash&Other,25093518.25,1.0,25093518.25,81.73%
2026-06-25,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,5605617.87,100.0,5605617.87,18.26%
2026-06-26,Capesize 5TC FFA 180kt Timecharter Average M Jun 26,C5TCM M26 INDEX,C5TCM M26,200.0,35461.0,7092200.0,23.81%
2026-06-26,Capesize 5TC FFA 180kt Timecharter Average M Jul 26,C5TCM N26 INDEX,C5TCM N26,160.0,27554.0,4408640.0,14.80%
2026-06-26,Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,160.0,29386.0,4701760.0,15.78%
2026-06-26,Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,160.0,32082.0,5133120.0,17.23%
2026-06-26,Panamax 5TC FFA 82kt Timecharter Average M Jun 26,P5TCM M26 INDEX,P5TCM M26,275.0,19625.0,5396875.0,18.12%
2026-06-26,Panamax 5TC FFA 82kt Timecharter Average M Jul 26,P5TCM N26 INDEX,P5TCM N26,200.0,18746.0,3749200.0,12.59%
2026-06-26,Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,200.0,18736.0,3747200.0,12.58%
2026-06-26,Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,200.0,18743.0,3748600.0,12.58%
2026-06-26,Supramax 58 TC FFA 58kt Timecharter Average M Jun 26,S58FM M26 INDEX,S58FM M26,75.0,18839.0,1412925.0,4.74%
2026-06-26,Supramax 58 TC FFA 58kt Timecharter Average M Jul 26,S58FM N26 INDEX,S58FM N26,55.0,17864.0,982520.0,3.30%
2026-06-26,Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,17518.0,963490.0,3.23%
2026-06-26,Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,17261.0,949355.0,3.19%
2026-06-26,Cash & Other,Cash&Other,Cash&Other,24172984.73,1.0,24172984.73,81.15%
2026-06-26,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,5605617.87,100.0,5605617.87,18.82%
2026-06-29,Capesize 5TC FFA 180kt Timecharter Average M Jun 26,C5TCM M26 INDEX,C5TCM M26,200.0,35364.0,7072800.0,24.19%
2026-06-29,Capesize 5TC FFA 180kt Timecharter Average M Jul 26,C5TCM N26 INDEX,C5TCM N26,165.0,26614.0,4391310.0,15.02%
2026-06-29,Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,165.0,28782.0,4749030.0,16.24%
2026-06-29,Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,165.0,31804.0,5247660.0,17.95%
2026-06-29,Panamax 5TC FFA 82kt Timecharter Average M Jun 26,P5TCM M26 INDEX,P5TCM M26,275.0,19629.0,5397975.0,18.46%
2026-06-29,Panamax 5TC FFA 82kt Timecharter Average M Jul 26,P5TCM N26 INDEX,P5TCM N26,205.0,18532.0,3799060.0,12.99%
2026-06-29,Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,18300.0,3751500.0,12.83%
2026-06-29,Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,18357.0,3763185.0,12.87%
2026-06-29,Supramax 58 TC FFA 58kt Timecharter Average M Jun 26,S58FM M26 INDEX,S58FM M26,75.0,18818.0,1411350.0,4.83%
2026-06-29,Supramax 58 TC FFA 58kt Timecharter Average M Jul 26,S58FM N26 INDEX,S58FM N26,55.0,17671.0,971905.0,3.32%
2026-06-29,Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,17311.0,952105.0,3.26%
2026-06-29,Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,17196.0,945780.0,3.23%
2026-06-29,Cash & Other,Cash&Other,Cash&Other,23633915.45,1.0,23633915.45,80.82%
2026-06-29,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,5605617.87,100.0,5605617.87,19.17%
