date,Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
2026-07-02,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,120.0,43.909,5269080.0,34.60%
2026-07-02,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,120.0,41.43,4971600.0,32.65%
2026-07-02,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,36.013,720260.0,4.73%
2026-07-02,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,29.337,586740.0,3.85%
2026-07-02,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,27.143,542860.0,3.57%
2026-07-02,Cash & Other,Cash&Other,Cash&Other,12957521.28,1.0,12957521.28,85.10%
2026-07-02,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,2263590.03,100.0,2263590.03,14.87%
2026-07-03,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,110.0,60.231,6625410.0,37.75%
2026-07-03,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,120.0,51.108,6132960.0,34.95%
2026-07-03,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,120.0,46.903,5628360.0,32.07%
2026-07-03,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,37.321,746420.0,4.25%
2026-07-03,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,30.364,607280.0,3.46%
2026-07-03,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,27.256,545120.0,3.11%
2026-07-03,Cash & Other,Cash&Other,Cash&Other,15325812.0,1.0,15325812.0,87.33%
2026-07-03,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,2221413.59,100.0,2221413.59,12.66%
2026-07-06,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,110.0,60.231,6625410.0,37.75%
2026-07-06,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,120.0,51.108,6132960.0,34.95%
2026-07-06,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,120.0,46.903,5628360.0,32.07%
2026-07-06,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,37.321,746420.0,4.25%
2026-07-06,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,30.364,607280.0,3.46%
