date,index_name,index_code,close,open,high,low,volume,change_pct
2008-09-02,Capital Link Container,CLCI,2837.35,2837.35,2837.35,2837.35,0.0,-1.018
2008-09-03,Capital Link Container,CLCI,2834.91,2834.91,2834.91,2834.91,0.0,-0.086
2008-09-04,Capital Link Container,CLCI,2787.43,2787.43,2787.43,2787.43,0.0,-1.6748
2008-09-05,Capital Link Container,CLCI,2808.77,2808.77,2808.77,2808.77,0.0,0.7656
2008-09-08,Capital Link Container,CLCI,2735.91,2735.91,2735.91,2735.91,0.0,-2.594
2008-09-09,Capital Link Container,CLCI,2847.83,2847.83,2847.83,2847.83,0.0,4.0908
2008-09-10,Capital Link Container,CLCI,2854.66,2854.66,2854.66,2854.66,0.0,0.2398
2008-09-11,Capital Link Container,CLCI,2909.78,2909.78,2909.78,2909.78,0.0,1.9309
2008-09-12,Capital Link Container,CLCI,2730.75,2730.75,2730.75,2730.75,0.0,-6.1527
2008-09-15,Capital Link Container,CLCI,2720.21,2720.21,2720.21,2720.21,0.0,-0.386
2008-09-16,Capital Link Container,CLCI,2639.88,2639.88,2639.88,2639.88,0.0,-2.9531
2008-09-17,Capital Link Container,CLCI,2792.11,2792.11,2792.11,2792.11,0.0,5.7665
2008-09-18,Capital Link Container,CLCI,2891.17,2891.17,2891.17,2891.17,0.0,3.5479
2008-09-19,Capital Link Container,CLCI,2722.69,2722.69,2722.69,2722.69,0.0,-5.8274
2008-09-22,Capital Link Container,CLCI,2628.16,2628.16,2628.16,2628.16,0.0,-3.4719
2008-09-23,Capital Link Container,CLCI,2639.48,2639.48,2639.48,2639.48,0.0,0.4307
2008-09-24,Capital Link Container,CLCI,2634.81,2634.81,2634.81,2634.81,0.0,-0.1769
2008-09-25,Capital Link Container,CLCI,2624.46,2624.46,2624.46,2624.46,0.0,-0.3928
2008-09-26,Capital Link Container,CLCI,2527.92,2527.92,2527.92,2527.92,0.0,-3.6785
2008-09-29,Capital Link Container,CLCI,2587.81,2587.81,2587.81,2587.81,0.0,2.3691
