date,period,commodity,trade_flow,reporter_country,partner_country,hs_code,metric_tonnes,value_usd,vessel_demand_impact,source,source_url
2015-03-01,201503,Cement / Clinker,Exports,Türkiye,World,2523,1223004.26,68737826.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-04-01,201504,Cement / Clinker,Exports,Türkiye,World,2523,1179149.69,62980864.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-05-01,201505,Cement / Clinker,Exports,Türkiye,World,2523,1197011.48,61911558.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-06-01,201506,Cement / Clinker,Exports,Türkiye,World,2523,864297.97,48322690.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-07-01,201507,Cement / Clinker,Exports,Türkiye,World,2523,879592.24,46489121.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-08-01,201508,Cement / Clinker,Exports,Türkiye,World,2523,802133.21,40983736.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-09-01,201509,Cement / Clinker,Exports,Türkiye,World,2523,921400.33,46556929.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-10-01,201510,Cement / Clinker,Exports,Türkiye,World,2523,933556.95,45487404.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-11-01,201511,Cement / Clinker,Exports,Türkiye,World,2523,1092309.06,52937239.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-12-01,201512,Cement / Clinker,Exports,Türkiye,World,2523,1051745.72,47944540.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-01-01,201601,Cement / Clinker,Exports,Türkiye,World,2523,1116720.32,47521924.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-02-01,201602,Cement / Clinker,Exports,Türkiye,World,2523,1064511.26,45419038.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-03-01,201603,Cement / Clinker,Exports,Türkiye,World,2523,1329411.78,59712485.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-04-01,201604,Cement / Clinker,Exports,Türkiye,World,2523,1138161.04,48724617.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-05-01,201605,Cement / Clinker,Exports,Türkiye,World,2523,1174098.04,49920038.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-06-01,201606,Cement / Clinker,Exports,Türkiye,World,2523,1271104.29,57424195.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-07-01,201607,Cement / Clinker,Exports,Türkiye,World,2523,1001574.84,45245445.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-08-01,201608,Cement / Clinker,Exports,Türkiye,World,2523,955803.36,41428016.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-09-01,201609,Cement / Clinker,Exports,Türkiye,World,2523,1228038.52,50534360.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-10-01,201610,Cement / Clinker,Exports,Türkiye,World,2523,792224.48,34400757.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-11-01,201611,Cement / Clinker,Exports,Türkiye,World,2523,1089392.03,45310445.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2016-12-01,201612,Cement / Clinker,Exports,Türkiye,World,2523,840261.4,35096665.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-01-01,201701,Cement / Clinker,Exports,Türkiye,World,2523,1100393.22,43026265.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-02-01,201702,Cement / Clinker,Exports,Türkiye,World,2523,1278808.16,48683173.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-03-01,201703,Cement / Clinker,Exports,Türkiye,World,2523,1377031.97,53723918.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-04-01,201704,Cement / Clinker,Exports,Türkiye,World,2523,1483825.62,57946218.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-05-01,201705,Cement / Clinker,Exports,Türkiye,World,2523,1184094.02,48597701.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-06-01,201706,Cement / Clinker,Exports,Türkiye,World,2523,1497186.75,61819234.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-07-01,201707,Cement / Clinker,Exports,Türkiye,World,2523,1098060.12,44295090.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-08-01,201708,Cement / Clinker,Exports,Türkiye,World,2523,1303221.31,55281727.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-09-01,201709,Cement / Clinker,Exports,Türkiye,World,2523,899070.43,38531418.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-10-01,201710,Cement / Clinker,Exports,Türkiye,World,2523,1233044.31,56013293.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-11-01,201711,Cement / Clinker,Exports,Türkiye,World,2523,918732.88,43773047.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2017-12-01,201712,Cement / Clinker,Exports,Türkiye,World,2523,1032789.92,44317800.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-01-01,201801,Cement / Clinker,Exports,Türkiye,World,2523,964736.58,41798018.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-02-01,201802,Cement / Clinker,Exports,Türkiye,World,2523,1333775.52,59092782.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-03-01,201803,Cement / Clinker,Exports,Türkiye,World,2523,1143490.38,57036235.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-04-01,201804,Cement / Clinker,Exports,Türkiye,World,2523,1391291.65,65275254.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-05-01,201805,Cement / Clinker,Exports,Türkiye,World,2523,1163746.3,55697701.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-06-01,201806,Cement / Clinker,Exports,Türkiye,World,2523,1592870.61,70729791.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-07-01,201807,Cement / Clinker,Exports,Türkiye,World,2523,1413326.73,65451791.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-08-01,201808,Cement / Clinker,Exports,Türkiye,World,2523,1181520.91,52884644.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-09-01,201809,Cement / Clinker,Exports,Türkiye,World,2523,1197574.35,54423372.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-10-01,201810,Cement / Clinker,Exports,Türkiye,World,2523,1516522.95,62772554.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-11-01,201811,Cement / Clinker,Exports,Türkiye,World,2523,1193441.61,50772768.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2018-12-01,201812,Cement / Clinker,Exports,Türkiye,World,2523,1279010.08,55573101.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-01-01,201901,Cement / Clinker,Exports,Türkiye,World,2523,1774762.74,69330227.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-02-01,201902,Cement / Clinker,Exports,Türkiye,World,2523,1661723.15,67465049.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-03-01,201903,Cement / Clinker,Exports,Türkiye,World,2523,2166469.4,87237274.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-04-01,201904,Cement / Clinker,Exports,Türkiye,World,2523,2315554.5,90502003.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-05-01,201905,Cement / Clinker,Exports,Türkiye,World,2523,2551090.56,98644675.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-06-01,201906,Cement / Clinker,Exports,Türkiye,World,2523,1544631.83,59440259.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-07-01,201907,Cement / Clinker,Exports,Türkiye,World,2523,1911770.73,74584455.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-08-01,201908,Cement / Clinker,Exports,Türkiye,World,2523,2208466.37,82598539.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-09-01,201909,Cement / Clinker,Exports,Türkiye,World,2523,2136640.84,78681502.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-10-01,201910,Cement / Clinker,Exports,Türkiye,World,2523,1705686.48,62595241.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-11-01,201911,Cement / Clinker,Exports,Türkiye,World,2523,2245297.69,83779903.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2019-12-01,201912,Cement / Clinker,Exports,Türkiye,World,2523,1952284.99,74720624.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-01-01,202001,Cement / Clinker,Exports,Türkiye,World,2523,2885284.53,101045771.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-02-01,202002,Cement / Clinker,Exports,Türkiye,World,2523,2712437.89,94206862.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-03-01,202003,Cement / Clinker,Exports,Türkiye,World,2523,3149107.62,112730618.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-04-01,202004,Cement / Clinker,Exports,Türkiye,World,2523,2226067.73,78123366.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-05-01,202005,Cement / Clinker,Exports,Türkiye,World,2523,2914030.98,99739307.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-06-01,202006,Cement / Clinker,Exports,Türkiye,World,2523,3230697.6,114676172.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-07-01,202007,Cement / Clinker,Exports,Türkiye,World,2523,2998499.31,107426261.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-08-01,202008,Cement / Clinker,Exports,Türkiye,World,2523,2808105.37,101675550.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-09-01,202009,Cement / Clinker,Exports,Türkiye,World,2523,3051874.01,113208843.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-10-01,202010,Cement / Clinker,Exports,Türkiye,World,2523,3089122.24,112035809.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-11-01,202011,Cement / Clinker,Exports,Türkiye,World,2523,2268996.43,89364319.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2020-12-01,202012,Cement / Clinker,Exports,Türkiye,World,2523,2552830.0,94333105.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-01-01,202101,Cement / Clinker,Exports,Türkiye,World,2523,1919079.97,75877901.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-02-01,202102,Cement / Clinker,Exports,Türkiye,World,2523,2415953.13,95722722.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-03-01,202103,Cement / Clinker,Exports,Türkiye,World,2523,3123734.9,124189923.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-04-01,202104,Cement / Clinker,Exports,Türkiye,World,2523,3141725.08,131245434.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-05-01,202105,Cement / Clinker,Exports,Türkiye,World,2523,3075819.65,124831165.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-06-01,202106,Cement / Clinker,Exports,Türkiye,World,2523,2897516.19,116886516.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-07-01,202107,Cement / Clinker,Exports,Türkiye,World,2523,2699958.84,114569971.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-08-01,202108,Cement / Clinker,Exports,Türkiye,World,2523,2959818.05,127966314.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-09-01,202109,Cement / Clinker,Exports,Türkiye,World,2523,2783814.59,120598651.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-10-01,202110,Cement / Clinker,Exports,Türkiye,World,2523,2679328.58,113149080.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-11-01,202111,Cement / Clinker,Exports,Türkiye,World,2523,2530920.49,110421902.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2021-12-01,202112,Cement / Clinker,Exports,Türkiye,World,2523,2645880.95,112424751.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-01-01,202201,Cement / Clinker,Exports,Türkiye,World,2523,2103035.16,101464424.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-02-01,202202,Cement / Clinker,Exports,Türkiye,World,2523,2651462.85,135292433.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-03-01,202203,Cement / Clinker,Exports,Türkiye,World,2523,2786605.52,145283695.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-04-01,202204,Cement / Clinker,Exports,Türkiye,World,2523,3214940.98,174915605.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-05-01,202205,Cement / Clinker,Exports,Türkiye,World,2523,2520108.06,145096587.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-06-01,202206,Cement / Clinker,Exports,Türkiye,World,2523,2455345.96,149164648.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-07-01,202207,Cement / Clinker,Exports,Türkiye,World,2523,2631180.8,161506016.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-08-01,202208,Cement / Clinker,Exports,Türkiye,World,2523,2482560.13,152856182.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-09-01,202209,Cement / Clinker,Exports,Türkiye,World,2523,2180434.35,131203905.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2022-10-01,202210,Cement / Clinker,Exports,Türkiye,World,2523,1995125.12,122554958.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
