date,week,month,year,country,commodity,type,outstanding_sales_total
2026-09-03T00:00:00.000,35,8,2026,UNKNOWN,Corn,,3032874
2026-09-03T00:00:00.000,35,8,2026,VENEZUELA,Corn,,80000
2026-09-03T00:00:00.000,35,8,2026,VIETNAM,Corn,,39570
2026-09-03T00:00:00.000,35,8,2026,ALGERIA,Soybeans,,169000
2026-09-03T00:00:00.000,35,8,2026,BANGLADESH,Soybeans,,55000
2026-09-03T00:00:00.000,35,8,2026,BARBADOS,Soybeans,,5000
2026-09-03T00:00:00.000,35,8,2026,CAMBODIA,Soybeans,,1520
2026-09-03T00:00:00.000,35,8,2026,CANADA,Soybeans,,23549
2026-09-03T00:00:00.000,35,8,2026,"CHINA, PEOPLES REPUBLIC OF",Soybeans,,8983000
2026-09-03T00:00:00.000,35,8,2026,COLOMBIA,Soybeans,,66000
2026-09-03T00:00:00.000,35,8,2026,COSTA RICA,Soybeans,,82000
2026-09-03T00:00:00.000,35,8,2026,EGYPT,Soybeans,,453572
2026-09-03T00:00:00.000,35,8,2026,FRANCE,Soybeans,,60
2026-09-03T00:00:00.000,35,8,2026,INDONESIA,Soybeans,,314371
2026-09-03T00:00:00.000,35,8,2026,JAPAN,Soybeans,,381485
2026-09-03T00:00:00.000,35,8,2026,"KOREA, REPUBLIC OF",Soybeans,,18134
2026-09-03T00:00:00.000,35,8,2026,LAOS,Soybeans,,300
2026-09-03T00:00:00.000,35,8,2026,LEEWARD-WINDWARD ISLANDS,Soybeans,,4000
2026-09-03T00:00:00.000,35,8,2026,MALAYSIA,Soybeans,,171998
2026-09-03T00:00:00.000,35,8,2026,MEXICO,Soybeans,,1665853
2026-09-03T00:00:00.000,35,8,2026,MOROCCO,Soybeans,,11000
2026-09-03T00:00:00.000,35,8,2026,NEPAL,Soybeans,,20000
2026-09-03T00:00:00.000,35,8,2026,PANAMA,Soybeans,,3800
2026-09-03T00:00:00.000,35,8,2026,PHILIPPINES,Soybeans,,17834
2026-09-03T00:00:00.000,35,8,2026,SINGAPORE,Soybeans,,4450
2026-09-03T00:00:00.000,35,8,2026,SPAIN,Soybeans,,0
2026-09-03T00:00:00.000,35,8,2026,TAIWAN,Soybeans,,252650
2026-09-03T00:00:00.000,35,8,2026,THAILAND,Soybeans,,83612
2026-09-03T00:00:00.000,35,8,2026,UNKNOWN,Soybeans,,5780650
2026-09-03T00:00:00.000,35,8,2026,VENEZUELA,Soybeans,,35000
2026-09-03T00:00:00.000,35,8,2026,VIETNAM,Soybeans,,145986
2026-09-03T00:00:00.000,35,8,2026,HAITI,Wheat,Durum,4000
2026-09-03T00:00:00.000,35,8,2026,ITALY,Wheat,Durum,15000
2026-09-03T00:00:00.000,35,8,2026,MEXICO,Wheat,Durum,21410
2026-09-03T00:00:00.000,35,8,2026,PANAMA,Wheat,Durum,0
2026-09-03T00:00:00.000,35,8,2026,UNKNOWN,Wheat,Durum,18000
2026-09-03T00:00:00.000,35,8,2026,VENEZUELA,Wheat,Durum,0
2026-09-03T00:00:00.000,35,8,2026,BARBADOS,Wheat,HRS,3900
2026-09-03T00:00:00.000,35,8,2026,BELIZE,Wheat,HRS,5225
2026-09-03T00:00:00.000,35,8,2026,BURMA,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,CANADA,Wheat,HRS,561
2026-09-03T00:00:00.000,35,8,2026,DOMINICAN REPUBLIC,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,EGYPT,Wheat,HRS,35000
2026-09-03T00:00:00.000,35,8,2026,GUATEMALA,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,GUYANA,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,HAITI,Wheat,HRS,19000
2026-09-03T00:00:00.000,35,8,2026,HONDURAS,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,INDONESIA,Wheat,HRS,14000
2026-09-03T00:00:00.000,35,8,2026,ITALY,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,JAMAICA,Wheat,HRS,17500
2026-09-03T00:00:00.000,35,8,2026,JAPAN,Wheat,HRS,91781
2026-09-03T00:00:00.000,35,8,2026,"KOREA, REPUBLIC OF",Wheat,HRS,111565
2026-09-03T00:00:00.000,35,8,2026,LEEWARD-WINDWARD ISLANDS,Wheat,HRS,6800
2026-09-03T00:00:00.000,35,8,2026,MALAYSIA,Wheat,HRS,20000
2026-09-03T00:00:00.000,35,8,2026,MEXICO,Wheat,HRS,260491
2026-09-03T00:00:00.000,35,8,2026,NIGERIA,Wheat,HRS,100000
2026-09-03T00:00:00.000,35,8,2026,PANAMA,Wheat,HRS,13300
2026-09-03T00:00:00.000,35,8,2026,PHILIPPINES,Wheat,HRS,124500
2026-09-03T00:00:00.000,35,8,2026,SINGAPORE,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,SPAIN,Wheat,HRS,12551
2026-09-03T00:00:00.000,35,8,2026,TAIWAN,Wheat,HRS,120550
2026-09-03T00:00:00.000,35,8,2026,THAILAND,Wheat,HRS,23500
2026-09-03T00:00:00.000,35,8,2026,TRINIDAD AND TOBAGO,Wheat,HRS,8200
2026-09-03T00:00:00.000,35,8,2026,UNKNOWN,Wheat,HRS,134800
2026-09-03T00:00:00.000,35,8,2026,VENEZUELA,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,VIETNAM,Wheat,HRS,0
2026-09-03T00:00:00.000,35,8,2026,BELIZE,Wheat,HRW,1875
2026-09-03T00:00:00.000,35,8,2026,CANADA,Wheat,HRW,1919
2026-09-03T00:00:00.000,35,8,2026,COLOMBIA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,DOMINICAN REPUBLIC,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,GUATEMALA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,GUYANA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,HAITI,Wheat,HRW,7000
2026-09-03T00:00:00.000,35,8,2026,HONDURAS,Wheat,HRW,13000
2026-09-03T00:00:00.000,35,8,2026,INDONESIA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,JAPAN,Wheat,HRW,102040
2026-09-03T00:00:00.000,35,8,2026,KENYA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,"KOREA, REPUBLIC OF",Wheat,HRW,79075
2026-09-03T00:00:00.000,35,8,2026,LEEWARD-WINDWARD ISLANDS,Wheat,HRW,4400
2026-09-03T00:00:00.000,35,8,2026,MEXICO,Wheat,HRW,233206
2026-09-03T00:00:00.000,35,8,2026,NIGERIA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,PANAMA,Wheat,HRW,4100
2026-09-03T00:00:00.000,35,8,2026,SOMALIA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,SURINAM,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,TAIWAN,Wheat,HRW,47450
2026-09-03T00:00:00.000,35,8,2026,THAILAND,Wheat,HRW,21450
2026-09-03T00:00:00.000,35,8,2026,UNKNOWN,Wheat,HRW,14100
2026-09-03T00:00:00.000,35,8,2026,VENEZUELA,Wheat,HRW,0
2026-09-03T00:00:00.000,35,8,2026,BARBADOS,Wheat,SRW,1600
2026-09-03T00:00:00.000,35,8,2026,BRAZIL,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,COLOMBIA,Wheat,SRW,13300
2026-09-03T00:00:00.000,35,8,2026,COSTA RICA,Wheat,SRW,16000
2026-09-03T00:00:00.000,35,8,2026,DOMINICAN REPUBLIC,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,ECUADOR,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,EL SALVADOR,Wheat,SRW,20100
2026-09-03T00:00:00.000,35,8,2026,GUATEMALA,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,GUYANA,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,HONDURAS,Wheat,SRW,6000
2026-09-03T00:00:00.000,35,8,2026,INDONESIA,Wheat,SRW,1273
2026-09-03T00:00:00.000,35,8,2026,JAMAICA,Wheat,SRW,12900
2026-09-03T00:00:00.000,35,8,2026,JAPAN,Wheat,SRW,300
2026-09-03T00:00:00.000,35,8,2026,"KOREA, REPUBLIC OF",Wheat,SRW,1939
2026-09-03T00:00:00.000,35,8,2026,LEEWARD-WINDWARD ISLANDS,Wheat,SRW,250
2026-09-03T00:00:00.000,35,8,2026,MALAYSIA,Wheat,SRW,2615
2026-09-03T00:00:00.000,35,8,2026,MEXICO,Wheat,SRW,264647
2026-09-03T00:00:00.000,35,8,2026,MOZAMBIQUE,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,NICARAGUA,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,NIGERIA,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,PANAMA,Wheat,SRW,8300
2026-09-03T00:00:00.000,35,8,2026,PERU,Wheat,SRW,58000
2026-09-03T00:00:00.000,35,8,2026,"SOUTH AFRICA, REPUBLIC OF",Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,TAIWAN,Wheat,SRW,1464
2026-09-03T00:00:00.000,35,8,2026,THAILAND,Wheat,SRW,2502
2026-09-03T00:00:00.000,35,8,2026,TRINIDAD AND TOBAGO,Wheat,SRW,8900
2026-09-03T00:00:00.000,35,8,2026,UNKNOWN,Wheat,SRW,17500
2026-09-03T00:00:00.000,35,8,2026,VENEZUELA,Wheat,SRW,0
2026-09-03T00:00:00.000,35,8,2026,VIETNAM,Wheat,SRW,2000
2026-09-03T00:00:00.000,35,8,2026,BANGLADESH,Wheat,White,0
2026-09-03T00:00:00.000,35,8,2026,CANADA,Wheat,White,566
2026-09-03T00:00:00.000,35,8,2026,CHILE,Wheat,White,0
2026-09-03T00:00:00.000,35,8,2026,CYPRUS,Wheat,White,0
2026-09-03T00:00:00.000,35,8,2026,ECUADOR,Wheat,White,30000
2026-09-03T00:00:00.000,35,8,2026,GUATEMALA,Wheat,White,23120
2026-09-03T00:00:00.000,35,8,2026,HONG KONG,Wheat,White,520
2026-09-03T00:00:00.000,35,8,2026,INDONESIA,Wheat,White,17000
2026-09-03T00:00:00.000,35,8,2026,JAPAN,Wheat,White,155827
2026-09-03T00:00:00.000,35,8,2026,"KOREA, REPUBLIC OF",Wheat,White,134410
2026-09-03T00:00:00.000,35,8,2026,MALAYSIA,Wheat,White,9500
2026-09-03T00:00:00.000,35,8,2026,MEXICO,Wheat,White,13015
2026-09-03T00:00:00.000,35,8,2026,NIGERIA,Wheat,White,0
2026-09-03T00:00:00.000,35,8,2026,PANAMA,Wheat,White,29800
2026-09-03T00:00:00.000,35,8,2026,PHILIPPINES,Wheat,White,319752
2026-09-03T00:00:00.000,35,8,2026,SINGAPORE,Wheat,White,0
2026-09-03T00:00:00.000,35,8,2026,SRI LANKA,Wheat,White,62500
2026-09-03T00:00:00.000,35,8,2026,TAIWAN,Wheat,White,27300
2026-09-03T00:00:00.000,35,8,2026,THAILAND,Wheat,White,133000
2026-09-03T00:00:00.000,35,8,2026,UNKNOWN,Wheat,White,231328
2026-09-03T00:00:00.000,35,8,2026,VIETNAM,Wheat,White,65000
