id,unit,rate_type,rate_subtype,route,count,min_date,max_date
344,ws,TANK,VLCC,MEG/USG,2148,2018-05-18,2026-08-07
480,ws,TANK,Aframax,WCN/MED,2148,2018-05-18,2026-08-07
365,usd,TANK,VLCC,CEYHAN/FEAST,2146,2018-05-18,2026-08-07
368,ws,TANK,VLCC,NSEA/USG,2145,2018-05-18,2026-08-07
472,ws,TANK,Aframax,WCN/USG,2140,2018-05-18,2026-08-07
508,ws,TANK,Aframax,CEYHAN/MED,2140,2018-05-18,2026-08-07
485,usd,TANK,Aframax,UKC/WCI,2133,2018-05-18,2026-08-07
512,ws,TANK,Aframax,CEYHAN/UKC,2130,2018-05-18,2026-08-07
504,ws,TANK,Aframax,BLSEA/MED,2124,2018-05-18,2026-08-07
516,ws,TANK,Aframax,CEYHAN/USG,2117,2018-05-18,2026-08-07
528,ws,TANK,Aframax,WAF/USG,2116,2018-05-18,2026-08-07
488,ws,TANK,Aframax,PRIMORSK/UKC,2098,2018-05-18,2026-08-07
492,ws,TANK,Aframax,PRIMORSK/USAC,2098,2018-05-18,2026-08-07
520,ws,TANK,Aframax,BLSEA/USG,2090,2018-05-18,2026-08-07
416,ws,TANK,Suezmax,WAFR/UKC,2046,2018-05-18,2026-08-07
412,ws,TANK,Suezmax,WAFR/USG,2037,2018-05-18,2026-08-07
448,ws,TANK,Suezmax,CROSS NSEA,2027,2018-05-18,2026-08-07
440,ws,TANK,Suezmax,BLSEA/MED,2008,2018-05-18,2026-08-07
444,ws,TANK,Suezmax,CROSS MED,1995,2018-05-18,2026-08-07
452,ws,TANK,Suezmax,CEYHAN/UKC,1990,2018-05-18,2026-08-07
580,usd,TANK,Fuel Oil SUEZ,SKAW/SPORE,1984,2018-05-18,2026-08-07
421,usd,TANK,Suezmax,WAFR/WCI,1981,2018-05-18,2026-08-07
461,usd,TANK,Suezmax,WEST DEMURRAGE,1977,2018-05-18,2026-08-07
424,ws,TANK,Suezmax,NSEA/USG,1976,2018-05-18,2026-08-07
432,ws,TANK,Suezmax,CEYHAN/USG,1969,2018-05-18,2026-08-07
396,ws,TANK,Suezmax,BOT(L)/UKCM,1968,2018-05-18,2026-08-07
404,ws,TANK,Suezmax,MEG/EAST (+15 YR),1968,2018-05-18,2026-08-07
400,ws,TANK,Suezmax,BOT(H)/UKCM,1964,2018-05-18,2026-08-07
408,ws,TANK,Suezmax,MEG/EAST (MODERN),1964,2018-05-18,2026-08-07
457,usd,TANK,Suezmax,CEYHAN/WCI,1964,2018-05-18,2026-08-07
429,usd,TANK,Suezmax,NSEA/WCI,1963,2018-05-18,2026-08-07
582,usd,TANK,Fuel Oil SUEZ,CBS-USG/SPORE,1951,2018-05-18,2026-08-07
465,usd,TANK,Suezmax,EAST DEMURRAGE,1950,2018-05-18,2026-08-07
436,ws,TANK,Suezmax,NOVO/USG,1863,2018-05-18,2026-08-07
392,ws,TANK,VLCC,WAFR/THAILAND,1810,2019-08-16,2026-08-07
389,usd,TANK,VLCC,USG/THAILAND,1806,2019-08-16,2026-08-07
309,ws,TANK,SUEZMAX-MARKET,BITR-1,1773,2018-05-17,2023-05-22
312,tce,TANK,SUEZMAX-MARKET,BITR-2,1759,2018-05-29,2023-04-25
569,usd,TANK,Aframax,FEAST/THAILAND,1695,2019-08-16,2026-08-07
468,ws,TANK,Suezmax,WAFR/THAILAND,1675,2019-08-16,2026-08-07
556,ws,TANK,Aframax,USG/UKCM,1659,2020-03-19,2026-08-07
565,usd,TANK,Aframax,DEMURRAGE CBS/USG,1655,2020-03-18,2026-08-07
497,usd,TANK,Aframax,DEMURRAGE NSEA,1638,2020-03-18,2026-08-07
524,ws,TANK,Aframax,WAF/UKCM,1614,2020-03-18,2026-08-07
311,ws,TANK,SUEZMAX-MARKET,BITR-2,1594,2018-12-08,2023-05-22
549,usd,TANK,Aframax,DEMURRAGE MED,1584,2020-03-19,2026-08-07
553,usd,TANK,Aframax,DEMURRAGE BSEA,1582,2020-03-20,2026-08-07
501,usd,TANK,Aframax,DEMURRAGE BALTIC,1580,2020-03-18,2026-08-07
533,usd,TANK,Aframax,MINA AL AHMADI/SINGAPORE,1565,2020-04-15,2026-08-07
545,usd,TANK,Aframax,DEMURRAGE EAST,1527,2020-04-15,2026-08-07
541,usd,TANK,Aframax,SERIA/GEELONG,1521,2020-04-15,2026-08-07
310,tce,TANK,SUEZMAX-MARKET,BITR-1,1463,2019-04-04,2023-04-25
537,usd,TANK,Aframax,KOZMINO/NORTH CHINA,1436,2020-05-25,2026-08-07
342,tce,TANK,VLCC,MEG/FEAST,1353,2018-05-18,2023-04-25
346,tce,TANK,VLCC,MEG/USG,1353,2018-05-18,2023-04-25
350,tce,TANK,VLCC,WAFR/UKC,1353,2018-05-18,2023-04-25
354,tce,TANK,VLCC,WAFR/USG,1353,2018-05-18,2023-04-25
358,tce,TANK,VLCC,WAFR/FEAST,1353,2018-05-18,2023-04-25
362,tce,TANK,VLCC,CEYHAN/USG,1353,2018-05-18,2023-04-25
366,tce,TANK,VLCC,CEYHAN/FEAST,1353,2018-05-18,2023-04-25
