date,segment,tenor,settle,open,high,low,last,first_ts,last_ts,reads,settle_changes
2026-09-15,panamax,Sep,21500,21625,21625,21300,21500,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,3
2026-09-15,supramax,Cal 27,16375,16300,16375,16075,16375,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,3
2026-09-15,supramax,Oct,21325,20750,21325,20650,21325,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,4
2026-09-15,supramax,Q1,16300,16100,16350,16025,16300,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,4
2026-09-15,supramax,Q4,20883.3,20475,20933.3,20433.3,20883.3,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,52
2026-09-15,supramax,Sep,19900,19700,19925,19700,19900,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,1
2026-09-16,cape,Cal 27,33150,33175,33350,33125,33150,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,cape,Oct,46875,46950,48000,46425,46875,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,cape,Q1,30675,30600,30825,30575,30675,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,cape,Q4,44875,44883.3,45583.3,44458.3,44875,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,5
2026-09-16,cape,Sep,48875,49250,49350,48725,48875,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,handysize,Cal 27,14400,14375,14400,14375,14400,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,handysize,Oct,18700,18600,18750,18550,18700,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,handysize,Q1,14050,13950,14050,13950,14050,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,handysize,Q4,18300,18233.3,18316.7,18200,18300,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,handysize,Sep,17000,16950,17000,16950,17000,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,panamax,Cal 27,18000,18125,18125,17950,18000,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,panamax,Oct,22400,22650,22725,22000,22400,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,3
2026-09-16,panamax,Q1,17875,18000,18050,17750,17875,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,panamax,Q4,22083.3,22225,22375,21750,22083.3,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,51
2026-09-16,panamax,Sep,21500,21500,21600,21450,21500,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,supramax,Cal 27,16500,16375,16500,16375,16500,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,2
2026-09-16,supramax,Oct,21575,21325,21700,21100,21575,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,supramax,Q1,16475,16300,16475,16225,16475,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,supramax,Q4,21100,20883.3,21266.7,20725,21100,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-16,supramax,Sep,20250,19900,20250,19900,20250,2026-09-16T00:05:01Z,2026-09-16T18:30:36Z,521,1
2026-09-17,cape,Cal 27,33150,33150,33150,33150,33150,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,cape,Oct,46839,46875,46875,46425,46725,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,cape,Q1,30640,30675,30675,30575,30575,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,cape,Q4,44839,44875,44875,44558.3,44766.7,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,cape,Sep,48846,48875,48875,48625,48875,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,handysize,Cal 27,14462,14400,14400,14400,14400,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,handysize,Oct,18835,18700,18700,18700,18700,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,handysize,Q1,14117,14050,14050,14050,14050,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,handysize,Q4,18422,18300,18300,18300,18300,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,handysize,Sep,16965,17000,17000,17000,17000,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,panamax,Cal 27,18051,18000,18000,18000,18000,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,panamax,Oct,22343,22400,22400,21950,22050,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,panamax,Q1,17918,17875,17950,17750,17825,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,panamax,Q4,22037,22083.3,22083.3,21808.3,21841.7,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,panamax,Sep,21368,21500,21500,21400,21400,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,supramax,Cal 27,16473,16500,16500,16500,16500,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,supramax,Oct,21554,21575,21600,21400,21550,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,supramax,Q1,16474,16475,16475,16250,16300,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,supramax,Q4,21125,21100,21150,21045.8,21075,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
2026-09-17,supramax,Sep,20061,20250,20250,20100,20100,2026-09-17T00:05:00Z,2026-09-17T09:54:06Z,295,0
