date,portid,portname,country,hub_code,daily_port_calls_total,daily_port_calls_dry_bulk,daily_port_calls_tanker,daily_port_calls_container,import_dry_bulk_kt,export_dry_bulk_kt,import_tanker_kt,export_tanker_kt
2019-03-28,port1069,Qingdao Port,China,port1069,30.0,2.0,4.0,19.0,0.0,2.46,314.01,10.17
2019-03-29,port1069,Qingdao Port,China,port1069,36.0,6.0,1.0,22.0,348.83,4.46,0.0,0.0
2019-03-30,port1069,Qingdao Port,China,port1069,22.0,2.0,2.0,15.0,87.24,0.0,0.0,5.3
2019-03-31,port1069,Qingdao Port,China,port1069,31.0,4.0,3.0,21.0,355.51,8.93,254.06,5.26
2019-04-01,port1069,Qingdao Port,China,port1069,31.0,3.0,6.0,17.0,169.07,0.0,199.55,5.34
2019-04-02,port1069,Qingdao Port,China,port1069,32.0,5.0,4.0,19.0,406.51,10.31,36.26,3.41
2019-04-03,port1069,Qingdao Port,China,port1069,26.0,3.0,4.0,18.0,106.83,18.32,8.46,10.88
2019-04-04,port1069,Qingdao Port,China,port1069,22.0,4.0,4.0,12.0,78.49,171.09,32.78,3.95
2019-04-05,port1069,Qingdao Port,China,port1069,36.0,4.0,4.0,27.0,321.11,4.46,9.94,15.93
2019-04-06,port1069,Qingdao Port,China,port1069,46.0,6.0,6.0,31.0,217.53,4.46,272.55,23.51
2019-04-07,port1069,Qingdao Port,China,port1069,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-04-08,port1069,Qingdao Port,China,port1069,37.0,4.0,3.0,22.0,159.02,0.0,0.0,17.13
2019-04-09,port1069,Qingdao Port,China,port1069,22.0,4.0,2.0,12.0,157.25,20.21,270.59,7.09
2019-04-10,port1069,Qingdao Port,China,port1069,36.0,2.0,7.0,22.0,171.58,0.0,403.92,7.68
2019-04-11,port1069,Qingdao Port,China,port1069,33.0,2.0,6.0,20.0,174.52,0.0,134.2,29.09
2019-04-12,port1069,Qingdao Port,China,port1069,26.0,5.0,4.0,16.0,358.87,55.14,269.55,31.72
2019-04-13,port1069,Qingdao Port,China,port1069,37.0,5.0,5.0,22.0,110.68,16.59,114.9,21.31
2019-04-14,port1069,Qingdao Port,China,port1069,37.0,2.0,11.0,22.0,38.34,0.0,431.62,57.85
2019-04-15,port1069,Qingdao Port,China,port1069,22.0,3.0,2.0,15.0,66.15,38.08,0.0,6.03
2019-04-16,port1069,Qingdao Port,China,port1069,22.0,0.0,3.0,17.0,0.0,0.0,9.89,5.34
2019-04-17,port1069,Qingdao Port,China,port1069,30.0,6.0,3.0,16.0,321.25,105.76,0.0,42.99
2019-04-18,port1069,Qingdao Port,China,port1069,31.0,2.0,6.0,15.0,55.92,4.46,561.88,42.04
2019-04-19,port1069,Qingdao Port,China,port1069,35.0,3.0,3.0,27.0,153.59,0.82,22.04,11.15
