date,portname,portid,year,month,day,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-01-02,Makassar Strait,chokepoint20,2019,1,2,2,44,3,,3,49,52,26479,2256516,2162,,92362,2285158,2377521
2019-01-02,Malacca Strait,chokepoint5,2019,1,2,34,41,11,6,65,92,157,1054030,2509210,45320,12055,3876315,3620616,7496931
2019-01-02,Mindoro Strait,chokepoint27,2019,1,2,1,38,4,,3,43,46,15131,2691430,3273,,136302,2709835,2846137
2019-01-02,Mona Passage,chokepoint24,2019,1,2,1,1,2,1,5,5,10,30458,,7502,1878,178067,39839,217907
2019-01-02,Ombai Strait,chokepoint16,2019,1,2,1,7,,,2,8,10,4316,548503,,,143330,552819,696149
2019-01-02,Oresund Strait,chokepoint10,2019,1,2,6,1,13,1,7,21,28,7410,3541,20968,1584,14422,33505,47928
2019-01-02,Panama Canal,chokepoint2,2019,1,2,8,6,4,2,9,20,29,197430,234174,11423,3833,299878,446861,746739
2019-01-02,Strait of Hormuz,chokepoint6,2019,1,2,13,9,,2,35,24,59,547743,419636,,2013,1022523,969394,1991917
2019-01-02,Suez Canal,chokepoint1,2019,1,2,24,4,6,6,10,40,50,1534924,227315,8536,37934,518306,1808711,2327017
2019-01-02,Sunda Strait,chokepoint19,2019,1,2,5,9,2,2,7,18,25,101601,450168,4737,2644,393637,559151,952788
2019-01-02,Taiwan Strait,chokepoint11,2019,1,2,98,68,24,7,67,197,264,2000779,2701141,108975,4335,1088934,4815231,5904166
2019-01-02,Torres Strait,chokepoint18,2019,1,2,3,4,2,,3,9,12,59209,,6354,,126886,65564,192451
2019-01-02,Tsugaru Strait,chokepoint13,2019,1,2,2,12,2,1,16,17,33,150181,259429,11439,2705,94862,423755,518618
2019-01-02,Windward Passage,chokepoint23,2019,1,2,3,2,2,1,2,8,10,37186,54678,2986,6736,,101588,101588
2019-01-02,Yucatan Channel,chokepoint22,2019,1,2,10,8,2,3,24,23,47,118223,258997,2534,7432,768043,387188,1155232
2019-01-03,Bab el-Mandeb Strait,chokepoint4,2019,1,3,18,13,5,4,18,40,58,883130,882606,26039,6316,884041,1798094,2682135
2019-01-03,Balabac Strait,chokepoint25,2019,1,3,2,6,,,3,8,11,13219,133229,,,8893,146448,155341
2019-01-03,Bering Strait,chokepoint26,2019,1,3,,1,,,3,1,4,,38992,,,201686,38992,240679
2019-01-03,Bohai Strait,chokepoint17,2019,1,3,22,56,11,3,13,92,105,370893,2348695,40804,1495,242935,2761889,3004825
2019-01-03,Bosporus Strait,chokepoint3,2019,1,3,8,19,17,,18,44,62,40732,463077,47803,,531157,551613,1082771
2019-01-03,Cape of Good Hope,chokepoint7,2019,1,3,7,37,2,2,16,48,64,177908,2218651,36586,13991,1127282,2447137,3574420
2019-01-03,Dover Strait,chokepoint9,2019,1,3,43,17,38,10,49,108,157,1213445,628234,82993,22128,1351631,1946802,3298433
2019-01-03,Gibraltar Strait,chokepoint8,2019,1,3,28,26,22,4,22,80,102,1277876,1171203,106169,8928,634412,2564179,3198591
2019-01-03,Kerch Strait,chokepoint28,2019,1,3,,4,23,1,21,28,49,,13157,23462,580,67889,37200,105090
2019-01-03,Korea Strait,chokepoint12,2019,1,3,42,25,67,4,68,138,206,653180,635623,159968,3029,1082014,1451801,2533816
2019-01-03,Lombok Strait,chokepoint15,2019,1,3,,23,1,2,10,26,36,,1618838,826,78,118360,1619743,1738104
2019-01-03,Luzon Strait,chokepoint14,2019,1,3,9,46,14,2,25,71,96,345840,3451057,76127,6550,2097263,3879575,5976839
