BULK CARRIER,Date,HANDYSIZE,SMAX/ULTRA,PANAMAX,CAPESIZE,
Week 04,22 Jan 2016,5000,5600,5500,4500,Week 04|2016-01-22
Week 05,29 Jan 2016,4800,5400,5400,4250,Week 05|2016-01-29
Week 06,5 Feb 2016,4800,5400,5400,4250,Week 06|2016-02-05
Week 07,12 Feb 2016,4800,5400,5200,4500,Week 07|2016-02-12
Week 08,19 Feb 2016,4000,5000,5200,4500,Week 08|2016-02-19
Week 09,26 Feb 2016,4000,5000,5200,4500,Week 09|2016-02-26
Week 10,4 Mar 2016,4350,5300,5600,4500,Week 10|2016-03-04
Week 11,11 Mar 2016,4500,5400,5800,4750,Week 11|2016-03-11
Week 12,18 Mar 2016,4800,5400,5800,4750,Week 12|2016-03-18
Week 13,25 Mar 2016,5000,5400,5850,5100,Week 13|2016-03-25
Week 14,1 Apr 2016,5000,5400,5900,5950,Week 14|2016-04-01
Week 15,8 Apr 2016,5600,5800,5950,6950,Week 15|2016-04-08
Week 16,15 Apr 2016,5700,6000,6300,8000,Week 16|2016-04-15
Week 17,22 Apr 2016,5850,6150,6300,8000,Week 17|2016-04-22
Week 18,29 Apr 2016,6000,6250,6300,8500,Week 18|2016-04-29
Week 19,6 May 2016,5900,6300,5800,8100,Week 19|2016-05-06
Week 20,13 May 2016,5900,7000,5800,7800,Week 20|2016-05-13
Week 21,20 May 2016,6500,7000,5800,7800,Week 21|2016-05-20
Week 22,27 May 2016,6500,7200,5800,7900,Week 22|2016-05-27
Week 23,3 Jun 2016,6500,7000,6100,8100,Week 23|2016-06-03
Week 24,10 Jun 2016,6500,7000,6500,8400,Week 24|2016-06-10
Week 25,17 Jun 2016,6500,7000,6700,8400,Week 25|2016-06-17
Week 26,24 Jun 2016,6500,7100,7200,9100,Week 26|2016-06-24
Week 27,1 Jul 2016,6500,7100,7800,9200,Week 27|2016-07-01
Week 28,8 Jul 2016,6500,7100,8200,9200,Week 28|2016-07-08
Week 29,15 Jul 2016,6500,7100,8800,9200,Week 29|2016-07-15
Week 30,22 Jul 2016,6500,7000,8200,8700,Week 30|2016-07-22
Week 31,29 Jul 2016,6500,6900,7900,8500,Week 31|2016-07-29
Week 32,5 Aug 2016,6500,7000,7700,8100,Week 32|2016-08-05
Week 33,12 Aug 2016,6500,7300,7700,7800,Week 33|2016-08-12
Week 34,19 Aug 2016,6500,7000,7400,7800,Week 34|2016-08-19
Week 35,26 Aug 2016,6650,7000,8300,8000,Week 35|2016-08-26
Week 36,2 Sep 2016,6750,7000,8200,8700,Week 36|2016-09-02
Week 37,9 Sep 2016,6400,6850,8200,9300,Week 37|2016-09-09
Week 38,16 Sep 2016,6400,7000,8000,10000,Week 38|2016-09-16
Week 39,23 Sep 2016,6400,7100,8000,9250,Week 39|2016-09-23
Week 40,30 Sep 2016,6400,7600,7800,9250,Week 40|2016-09-30
Week 41,7 Oct 2016,6400,7800,7800,9000,Week 41|2016-10-07
Week 42,14 Oct 2016,6400,7900,8950,8800,Week 42|2016-10-14
Week 43,21 Oct 2016,6400,7900,8950,8800,Week 43|2016-10-21
Week 44,28 Oct 2016,6400,8100,8750,8800,Week 44|2016-10-28
Week 45,4 Nov 2016,6400,8000,8500,9000,Week 45|2016-11-04
Week 46,11 Nov 2016,7200,8000,12500,11500,Week 46|2016-11-11
Week 47,18 Nov 2016,8500,10000,13000,12000,Week 47|2016-11-18
Week 48,25 Nov 2016,9000,10000,13000,12000,Week 48|2016-11-25
Week 49,2 Dec 2016,10500,10250,15250,11000,Week 49|2016-12-02
Week 50,9 Dec 2016,10500,10500,13000,8900,Week 50|2016-12-09
Week 51,16 Dec 2016,10500,10800,12000,8000,Week 51|2016-12-16
Week 52,29 Dec 2016,10000,10250,8750,7000,Week 52|2016-12-29
Week 1,5 Jan 2017,9500,10000,9200,8000,Week 1|2017-01-05
Week 2,12 Jan 2017,9500,10000,12000,8500,Week 2|2017-01-12
Week 3,19 Jan 2017,9500,9500,11500,8500,Week 3|2017-01-19
Week 4,26 Jan 2017,9500,9500,10150,8500,Week 4|2017-01-26
Week 5,2 Feb 2017,7500,9500,10500,8500,Week 5|2017-02-02
Week 6,9 Feb 2017,7250,9350,10500,8000,Week 6|2017-02-09
Week 7,16 Feb 2017,6500,9000,10500,8000,Week 7|2017-02-16
Week 8,23 Feb 2017,6500,9000,10000,8500,Week 8|2017-02-23
Week 9,2 Mar 2017,7500,9250,10500,8000,Week 9|2017-03-02
Week 10,9 Mar 2017,7500,9250,12000,10500,Week 10|2017-03-09
Week 11,16 Mar 2017,7500,9250,11000,13500,Week 11|2017-03-16
Week 12,23 Mar 2017,7900,9250,11000,14500,Week 12|2017-03-23
Week 13,30 Mar 2017,7750,9250,13000,17000,Week 13|2017-03-30
Week 14,6 Apr 2017,7750,9250,13500,15000,Week 14|2017-04-06
Week 15,13 Apr 2017,7500,10500,15000,15000,Week 15|2017-04-13
Week 16,20 Apr 2017,8750,11500,16500,15000,Week 16|2017-04-20
Week 17,27 Apr 2017,8250,11000,14000,15000,Week 17|2017-04-27
Week 18,4 May 2017,8100,11000,12500,15000,Week 18|2017-05-04
Week 19,11 May 2017,7500,10350,12000,15000,Week 19|2017-05-11
Week 20,18 May 2017,7500,10250,10500,14250,Week 20|2017-05-18
Week 21,25 May 2017,7500,10250,9500,14850,Week 21|2017-05-25
Week 22,1 Jun 2017,7500,10350,9500,15000,Week 22|2017-06-01
Week 23,8 Jun 2017,7500,9750,9250,12500,Week 23|2017-06-08
Week 24,15 Jun 2017,7500,9500,10000,13000,Week 24|2017-06-15
Week 25,22 Jun 2017,7500,9850,11500,12500,Week 25|2017-06-22
Week 26,29 Jun 2017,8000,10000,11500,12250,Week 26|2017-06-29
Week 27,6 Jul 2017,8000,10250,11250,12250,Week 27|2017-07-06
Week 28,13 Jul 2017,8000,10250,11250,11000,Week 28|2017-07-13
Week 29,20 Jul 2017,7750,10250,13000,11500,Week 29|2017-07-20
Week 30,27 Jul 2017,7750,10250,13000,13500,Week 30|2017-07-27
Week 31,3 Aug 2017,7750,10000,12000,14500,Week 31|2017-08-03
Week 32,10 Aug 2017,7750,10750,12750,13500,Week 32|2017-08-10
Week 33,17 Aug 2017,7750,11500,13100,16000,Week 33|2017-08-17
Week 34,24 Aug 2017,7750,11000,13250,17000,Week 34|2017-08-24
Week 35,31 Aug 2017,7850,11000,12500,16500,Week 35|2017-08-31
Week 36,7 Sep 2017,8150,11000,12000,15500,Week 36|2017-09-07
Week 37,14 Sep 2017,8150,12750,13250,16500,Week 37|2017-09-14
Week 38,21 Sep 2017,7750,12000,13500,17000,Week 38|2017-09-21
Week 39,28 Sep 2017,9250,13000,13500,18000,Week 39|2017-09-28
Week 40,5 Oct 2017,9250,12500,12750,16500,Week 40|2017-10-05
Week 41,12 Oct 2017,9250,12600,14500,16500,Week 41|2017-10-12
Week 42,19 Oct 2017,9500,13000,15500,17500,Week 42|2017-10-19
Week 43,26 Oct 2017,9500,13100,14500,18000,Week 43|2017-10-26
Week 44,2 Nov 2017,10000,12250,14250,18500,Week 44|2017-11-02
Week 45,9 Nov 2017,10000,12750,14250,18000,Week 45|2017-11-09
Week 46,16 Nov 2017,10000,12750,13500,18500,Week 46|2017-11-16
Week 47,23 Nov 2017,9750,12500,14500,20500,Week 47|2017-11-23
Week 48,30 Nov 2017,8750,12500,14500,21500,Week 48|2017-11-30
Week 49,7 Dec 2017,9750,13000,16250,21500,Week 49|2017-12-07
Week 50,14 Dec 2017,9750,13000,17500,21000,Week 50|2017-12-14
Week 51,21 Dec 2017,9750,13000,14500,20000,Week 51|2017-12-21
Week 52,28 Dec 2017,9500,12500,13750,20000,Week 52|2017-12-28
Week 1,4 Jan 2018,9500,12500,13750,20000,Week 1|2018-01-04
Week 2,11 Jan 2018,9250,12500,14500,16500,Week 2|2018-01-11
Week 3,18 Jan 2018,9250,12500,15500,12000,Week 3|2018-01-18
Week 4,25 Jan 2018,9250,11500,16000,15000,Week 4|2018-01-25
Week 5,1 Feb 2018,8750,11500,15500,13500,Week 5|2018-02-01
Week 6,8 Feb 2018,8500,11500,15500,16000,Week 6|2018-02-08
Week 7,15 Feb 2018,9000,12000,15750,17000,Week 7|2018-02-15
Week 8,22 Feb 2018,9000,12000,15000,17500,Week 8|2018-02-22
Week 9,1 Mar 2018,8500,12000,16000,17500,Week 9|2018-03-01
Week 10,8 Mar 2018,8500,12000,15500,17250,Week 10|2018-03-08
Week 11,15 Mar 2018,10250,12000,15000,17000,Week 11|2018-03-15
Week 12,22 Mar 2018,11750,13250,15000,16500,Week 12|2018-03-22
Week 13,29 Mar 2018,12000,16500,15500,16500,Week 13|2018-03-29
Week 14,5 Apr 2018,10500,14000,15000,15500,Week 14|2018-04-05
Week 15,12 Apr 2018,10000,13500,15000,15500,Week 15|2018-04-12
Week 16,19 Apr 2018,"10,000","13,500","14,250","14,750",Week 16|2018-04-19
Week 17,26 Apr 2018,"11,500","13,000","12,750","18,000",Week 17|2018-04-26
Week 18,3 May 2018,"11,500","13,000","12,750","18,500",Week 18|2018-05-03
Week 19,10 May 2018,"11,500","13,000","13,800","19,000",Week 19|2018-05-10
Week 20,17 May 2018,"10,750","12,800","13,800","19,000",Week 20|2018-05-17
Week 21,24 May 2018,"9,750","13,000","13,750","16,500",Week 21|2018-05-24
Week 22,31 May 2018,"9,750","12,900","12,000","18,000",Week 22|2018-05-31
Week 23,7 Jun 2018,"9,500","12,125","14,500","18,500",Week 23|2018-06-07
Week 24,14 Jun 2018,"9,500","13,000","14,500","22,000",Week 24|2018-06-14
Week 25,21 Jun 2018,"10,500","13,000","14,500","20,100",Week 25|2018-06-21
Week 26,28 Jun 2018,"10,000","12,375","13,500","19,125",Week 26|2018-06-28
Week 27,5 Jul 2018,"10,000","12,250","13,250","22,000",Week 27|2018-07-05
Week 28,12 Jul 2018,"10,000","12,750","13,250","21,500",Week 28|2018-07-12
Week 29,19 Jul 2018,"10,000","13,000","13,250","22,000",Week 29|2018-07-19
Week 30,26 Jul 2018,"10,000","13,000","13,250","22,000",Week 30|2018-07-26
Week 31,2 Aug 2018,"9,750","12,950","16,500","27,750",Week 31|2018-08-02
Week 32,9 Aug 2018,"9,750","13,850","16,500","26,000",Week 32|2018-08-09
Week 33,16 Aug 2018,"9,750","13,850","16,750","25,000",Week 33|2018-08-16
Week 34,23 Aug 2018,"10,750","13,350","13,000","24,000",Week 34|2018-08-23
Week 35,30 Aug 2018,"10,100","13,350","17,000","26,000",Week 35|2018-08-30
Week 36,6 Sep 2018,"10,750","13,350","16,000","26,000",Week 36|2018-09-06
Week 37,13 Sep 2018,"10,750","13,350","16,000","24,500",Week 37|2018-09-13
Week 38,20 Sep 2018,"10,750","13,350","15,000","23,000",Week 38|2018-09-20
Week 39,27 Sep 2018,"10,750","13,500","16,750","23,000",Week 39|2018-09-27
Week 40,4 Oct 2018,"11,500","14,000","16,750","23,000",Week 40|2018-10-04
Week 41,11 Oct 2018,"11,500","14,000","16,750","23,000",Week 41|2018-10-11
Week 42,18 Oct 2018,"11,550","14,250","18,000","23,150",Week 42|2018-10-18
Week 43,25 Oct 2018,"11,550","14,250","18,000","23,150",Week 43|2018-10-25
Week 44,1 Oct 2018,"11,000","13,500","16,500","22,500",Week 44|2018-10-01
Week 45,1 Nov 2018,"10,250","11,300","16,250","22,000",Week 45|2018-11-01
Week 46,2 Nov 2018,"10,800","13,000","14,000","18,500",Week 46|2018-11-02
Week 47,3 Nov 2018,"10,750","12,750","11,500","12,950",Week 47|2018-11-03
Week 48,4 Nov 2018,"10,700","12,700","11,500","12,950",Week 48|2018-11-04
Week 49,5 Dec 2018,"10,750","12,750","11,500","13,500",Week 49|2018-12-05
Week 50,12 Dec 2018,"11,350","13,500","13,500","13,500",Week 50|2018-12-12
Week 51,13 Dec 2018,"11,350","13,500","13,500","14,000",Week 51|2018-12-13
Week 1,1 Jan 2019,"11,000","13,000","12,750","14,000",Week 1|2019-01-01
Week 2,2 Jan 2019,"11,000","13,000","12,750","16,750",Week 2|2019-01-02
Week 3,3 Jan 2019,"10,500","12,500","12,750","16,750",Week 3|2019-01-03
Week 4,4 Jan 2019,"10,000","12,000","12,250","16,250",Week 4|2019-01-04
Week 5,5 Jan 2019,"9,500","11,200","11,750","15,250",Week 5|2019-01-05
Week 6,6 Feb 2019,"8,500","10,500","11,250","13,250",Week 6|2019-02-06
Week 7,7 Feb 2019,"8,550","10,550","10,000","12,500",Week 7|2019-02-07
Week 8,8 Feb 2019,"9,000","11,000","10,000","12,000",Week 8|2019-02-08
Week 9,27 Feb 2019,"9,150","11,000","10,500","10,800",Week 9|2019-02-27
Week 10,18 Mar 2019,"9,500","12,000","11,000","9,000",Week 10|2019-03-18
Week 11,19 Mar 2019,"9,550","12,500","11,000","8,500",Week 11|2019-03-19
Week 12,20 Mar 2019,"9,600","12,550","11,500","9,000",Week 12|2019-03-20
Week 13,21 Mar 2019,"9,650","12,600","12,000","9,000",Week 13|2019-03-21
Week 14,3 Apr 2019,"9,250","12,200","11,500","9,000",Week 14|2019-04-03
Week 15,10 Apr 2019,"9,250","11,700","12,000","10,000",Week 15|2019-04-10
Week 16,11 Apr 2019,"9,250","11,700","11,750","10,000",Week 16|2019-04-11
Week 17,12 Apr 2019,"9,000","11,200","11,750","10,000",Week 17|2019-04-12
Week 18,1 May 2019,"9,000","10,250","12,250","11,000",Week 18|2019-05-01
Week 19,8 May 2019,"9,000","10,250","13,000","12,500",Week 19|2019-05-08
Week 20,15 May 2019,"8,750","10,000","13,250","14,000",Week 20|2019-05-15
Week 21,16 May 2019,"9,000","10,250","13,000","14,000",Week 21|2019-05-16
Week 22,17 May 2019,"9,000","10,250","12,500","14,000",Week 22|2019-05-17
Week 23,4 Jun 2019,"9,000","10,500","12,500","14,750",Week 23|2019-06-04
Week 24,11 Jun 2019,"9,000","10,500","13,000","16,250",Week 24|2019-06-11
Week 25,12 Jun 2019,"9,000","10,500","13,000","17,000",Week 25|2019-06-12
Week 26,26 Jun 2019,"9,000","10,500","13,625","19,000",Week 26|2019-06-26
Week 27,3 Jul 2019,"9,000","10,500","14,250","19,000",Week 27|2019-07-03
Week 28,10 Jul 2019,"9,500","10,750","14,500","20,500",Week 28|2019-07-10
Week 29,10 Jul 2019,"9,500","11,750","16,750","27,000",Week 29|2019-07-10
Week 30,10 Jul 2019,"9,500","11,750","17,000","28,000",Week 30|2019-07-10
Week 31,10 Jul 2019,"9,500","11,750","17,000","26,000",Week 31|2019-07-10
Week 32,7 Aug 2019,"9,500","11,750","16,000","22,500",Week 32|2019-08-07
Week 33,7 Aug 2019,"9,500","11,750","13,000","20,500",Week 33|2019-08-07
Week 34,7 Aug 2019,"9,500","12,500","14,000","22,500",Week 34|2019-08-07
Week 35,7 Aug 2019,"9,500","12,500","14,000","23,000",Week 35|2019-08-07
Week 36,4 Sep 2019,"9,750","14,500","15,500","27,500",Week 36|2019-09-04
Week 37,5 Sep 2019,"9,750","14,500","15,500","27,500",Week 37|2019-09-05
Week 38,6 Sep 2019,"9,750","14,250","15,250","27,250",Week 38|2019-09-06
Week 39,6 Sep 2019,"9,750","14,250","15,000","27,000",Week 39|2019-09-06
Week 40,2 Oct 2019,"9,750","14,000","14,500","26,000",Week 40|2019-10-02
Week 41,9 Oct 2019,"9,400","14,000","18,000","26,000",Week 41|2019-10-09
Week 42,10 Oct 2019,"9,400","14,000","17,750","26,000",Week 42|2019-10-10
Week 43,10 Oct 2019,"9,400","13,500","17,250","25,000",Week 43|2019-10-10
Week 44,11 Oct 2019,"9,250","13,250","16,750","25,000",Week 44|2019-10-11
Week 45,6 Nov 2019,"9,250","13,250","16,500","24,000",Week 45|2019-11-06
Week 46,13 Nov 2019,"8,500","11,250","14,500","20,250",Week 46|2019-11-13
Week 47,14 Nov 2019,"8,500","10,750","14,000","20,250",Week 47|2019-11-14
Week 48,27 Nov 2019,"8,000","10,500","13,625","18,000",Week 48|2019-11-27
Week 49,3 Dec 2019,"8,000","10,500","14,250","20,500",Week 49|2019-12-03
Week 50,4 Dec 2019,"8,000","10,500","14,500","20,500",Week 50|2019-12-04
Week 51,5 Dec 2019,"8,000","10,500","14,750","18,500",Week 51|2019-12-05
Week 2,8 Jan 2020,"8,000","10,000","13,500","15,750",Week 2|2020-01-08
Week 3,15 Jan 2020,"8,000","9,750","12,000","14,250",Week 3|2020-01-15
Week 4,22 Jan 2020,"8,000","9,500","11,500","13,250",Week 4|2020-01-22
Week 5,23 Jan 2020,"8,000","9,250","10,000","12,250",Week 5|2020-01-23
Week 6,5 Feb 2020,"8,000","8,750","10,250","11,250",Week 6|2020-02-05
Week 7,12 Feb 2020,"8,000","8,750","10,250","10,750",Week 7|2020-02-12
Week 8,19 Feb 2020,"8,000","8,750","10,250","10,750",Week 8|2020-02-19
Week 9,26 Feb 2020,"8,000","9,000","10,500","10,750",Week 9|2020-02-26
Week 10,4 Mar 2020,"8,000","9,000","10,500","10,250",Week 10|2020-03-04
Week 11,11 Mar 2020,"8,000","9,250","11,250","11,750",Week 11|2020-03-11
Week 12,18 Mar 2020,"8,500","9,250","11,250","11,500",Week 12|2020-03-18
Week 13,25 Mar 2020,"8,500","9,250","10,250","11,500",Week 13|2020-03-25
Week 14,1 Apr 2020,"8,000","9,000","10,000","11,000",Week 14|2020-04-01
Week 15,8 Apr 2020,"8,000","9,000","10,250","11,000",Week 15|2020-04-08
Week 16,15 Apr 2020,"8,000","8,500","9,750","11,500",Week 16|2020-04-15
Week 17,22 Apr 2020,"8,000","8,500","9,750","12,000",Week 17|2020-04-22
Week 18,28 Apr 2020,"7,750","8,250","9,500","11,750",Week 18|2020-04-28
Week 19,6 May 2020,"7,750","8,250","9,500","11,500",Week 19|2020-05-06
Week 20,13 May 2020,"7,250","8,250","9,250","10,000",Week 20|2020-05-13
Week 21,20 May 2020,"7,250","8,250","9,250","9,500",Week 21|2020-05-20
Week 22,27 May 2020,"7,250","8,250","9,500","9,750",Week 22|2020-05-27
Week 23,1 Jun 2020,"7,250","8,250","9,750","9,500",Week 23|2020-06-01
Week 24,10 Jun 2020,"7,500","8,500","9,750","12,000",Week 24|2020-06-10
Week 25,24 Jun 2020,"8,500","9,750","12,250","19,000",Week 25|2020-06-24
Week 26,24 Jun 2020,"8,750","10,250","12,500","19,500",Week 26|2020-06-24
Week 27,1 Jul 2020,"9,000","11,000","12,750","20,500",Week 27|2020-07-01
Week 28,8 Jul 2020,"9,000","12,000","13,000","21,500",Week 28|2020-07-08
Week 29,15 Jul 2020,"9,000","12,000","14,250","21,000",Week 29|2020-07-15
Week 30,22 Jul 2020,"8,750","11,250","13,750","19,500",Week 30|2020-07-22
Week 31,23 Jul 2020,"8,750","11,250","12,000","18,000",Week 31|2020-07-23
Week 32,4 Aug 2020,"8,750","10,250","12,000","17,500",Week 32|2020-08-04
Week 33,12 Aug 2020,"8,750","10,250","14,500","17,500",Week 33|2020-08-12
Week 34,19 Aug 2020,"9,000","10,750","14,750","17,500",Week 34|2020-08-19
Week 35,24 Aug 2020,"9,000","10,750","14,750","17,500",Week 35|2020-08-24
Week 36,2 Sep 2020,"9,000","10,750","14,250","17,250",Week 36|2020-09-02
Week 37,9 Sep 2020,"9,000","10,750","13,925","17,000",Week 37|2020-09-09
Week 38,10 Sep 2020,"9,000","10,750","13,500","17,000",Week 38|2020-09-10
Week 39,23 Sep 2020,"9,000","10,750","13,500","17,000",Week 39|2020-09-23
Week 40,30 Sep 2020,"9,000","10,750","13,800","18,000",Week 40|2020-09-30
Week 41,7 Oct 2020,"9,000","10,750","14,125","19,000",Week 41|2020-10-07
Week 42,14 Oct 2020,"9,000","10,750","14,250","17,500",Week 42|2020-10-14
Week 43,21 Oct 2020,"9,000","10,750","13,750","16,500",Week 43|2020-10-21
Week 44,28 Oct 2020,"9,000","10,750","13,750","15,500",Week 44|2020-10-28
Week 45,4 Nov 2020,"9,000","10,500","13,500","15,000",Week 45|2020-11-04
Week 46,11 Nov 2020,"9,000","10,250","13,000","14,000",Week 46|2020-11-11
Week 47,18 Nov 2020,"9,000","10,250","14,000","13,000",Week 47|2020-11-18
Week 48,25 Nov 2020,"9,250","10,250","14,000","13,000",Week 48|2020-11-25
Week 49,2 Dec 2020,"9,250","10,250","13,500","13,500",Week 49|2020-12-02
Week 50,9 Dec 2020,"9,250","10,250","13,250","13,750",Week 50|2020-12-09
Week 51,16 Dec 2020,"9,250","10,250","13,500","14,000",Week 51|2020-12-16
Week 1,6 Jan 2021,"9,250","10,250","13,500","14,000",Week 1|2021-01-06
Week 2,13 Jan 2021,"9,500","10,500","14,000","17,000",Week 2|2021-01-13
Week 3,20 Jan 2021,"9,750","10,750","14,250","17,250",Week 3|2021-01-20
Week 4,27 Jan 2021,"10,250","12,500","14,500","18,000",Week 4|2021-01-27
Week 5,3 Feb 2021,"10,750","13,500","14,000","18,250",Week 5|2021-02-03
Week 6,9 Feb 2021,"11,000","13,750","14,000","16,250",Week 6|2021-02-09
Week 7,17 Feb 2021,"11,250","14,250","15,000","16,750",Week 7|2021-02-17
Week 8,24 Feb 2021,"12,750","16,000","22,000","17,750",Week 8|2021-02-24
Week 9,3 Mar 2021,"16,500","19,000","22,000","18,250",Week 9|2021-03-03
Week 10,10 Mar 2021,"16,750","20,000","19,500","20,750",Week 10|2021-03-10
Week 11,17 Mar 2021,"18,500","22,000","19,750","21,500",Week 11|2021-03-17
Week 12,24 Mar 2021,"18,500","22,750","25,625","24,000",Week 12|2021-03-24
Week 13,31 Mar 2021,"16,500","21,000","22,000","24,000",Week 13|2021-03-31
Week 14,7 Apr 2021,"16,250","21,000","22,000","24,500",Week 14|2021-04-07
Week 15,14 Apr 2021,"16,000","21,000","18,750","26,500",Week 15|2021-04-14
Week 16,21 Apr 2021,"18,500","19,250","19,750","27,000",Week 16|2021-04-21
Week 17,27 Apr 2021,"18,500","19,250","20,750","29,000",Week 17|2021-04-27
Week 18,5 May 2021,"21,500","22,000","23,750","36,000",Week 18|2021-05-05
Week 19,12 May 2021,"21,500","22,000","23,750","36,000",Week 19|2021-05-12
Week 20,19 May 2021,"21,500","22,000","26,250","30,500",Week 20|2021-05-19
Week 21,25 May 2021,"21,500","23,000","25,000","30,750",Week 21|2021-05-25
Week 22,2 Jun 2021,"22,500","23,000","26,750","27,000",Week 22|2021-06-02
Week 23,9 Jun 2021,"24,500","28,000","28,000","26,000",Week 23|2021-06-09
Week 24,16 Jun 2021,"24,500","29,500","29,500","34,000",Week 24|2021-06-16
Week 25,23 Jun 2021,"25,750","31,000","35,000","34,500",Week 25|2021-06-23
Week 26,30 Jun 2021,"25,750","31,500","36,250","36,000",Week 26|2021-06-30
Week 27,7 Jul 2021,"22,000","33,000","36,250","34,500",Week 27|2021-07-07
Week 28,15 Jul 2021,"24,500","33,000","35,000","32,000",Week 28|2021-07-15
Week 29,21 Jul 2021,"26,000","33,000","35,000","31,250",Week 29|2021-07-21
Week 30,4 Aug 2021,"29,500","36,500","30,000","32,250",Week 30|2021-08-04
Week 31,11 Aug 2021,"29,500","36,500","35,500","32,250",Week 31|2021-08-11
Week 32,17 Aug 2021,"29,500","36,500","36,000","32,750",Week 32|2021-08-17
Week 33,25 Aug 2021,"31,000","37,500","36,750","40,250",Week 33|2021-08-25
Week 35,1 Sep 2021,"32,000","37,500","36,750","40,250",Week 35|2021-09-01
Week 36,8 Sep 2021,"32,000","37,000","33,500","40,250",Week 36|2021-09-08
