date,tonnes,vessels,company,source_url,publisher,source_quote,method,import_volume_t,avg_cif_usd_t,granularity
2020-12-01,4264600.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202012,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4264600 tonnes, CIF $191060716",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4264600.0,44.8,monthly_bilateral_mirror
2020-12-31,82400000.0,,National Total,https://www.guineamininginsights.com/data-hub,Guinea Mining Insights Data Hub / Ministry of Mines and Geology,Guinea Bauxite Export Growth View data table Data table for Chart Year Export Rate 2015 18 2016 20.9 2017 43 2018 54.15 2019 64.45 2020 82.4 2021 85.66 2022 103 2023 127 2024 145 2025 183,Ministry-reported (Direct Republisher),82400000.0,,annual_national
2021-01-01,4628850.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202101,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4628850 tonnes, CIF $200534993",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4628850.0,43.32,monthly_bilateral_mirror
2021-02-01,5399110.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202102,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 5399110 tonnes, CIF $239669028",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),5399110.0,44.39,monthly_bilateral_mirror
2021-03-01,5748510.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202103,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 5748510 tonnes, CIF $267122805",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),5748510.0,46.47,monthly_bilateral_mirror
2021-04-01,4774480.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202104,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4774480 tonnes, CIF $219034635",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4774480.0,45.88,monthly_bilateral_mirror
2021-05-01,5257350.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202105,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 5257350 tonnes, CIF $242478555",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),5257350.0,46.12,monthly_bilateral_mirror
2021-06-01,5309630.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202106,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 5309630 tonnes, CIF $255501107",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),5309630.0,48.12,monthly_bilateral_mirror
2021-07-01,4374980.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202107,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4374980 tonnes, CIF $211844220",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4374980.0,48.42,monthly_bilateral_mirror
2021-08-01,4317470.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202108,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4317470 tonnes, CIF $223706230",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4317470.0,51.81,monthly_bilateral_mirror
2021-09-01,3913610.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202109,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 3913610 tonnes, CIF $217497270",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),3913610.0,55.57,monthly_bilateral_mirror
2021-10-01,4294030.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202110,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4294030 tonnes, CIF $232732656",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4294030.0,54.2,monthly_bilateral_mirror
