date,week,month,year,port,in_port,loaded_7_days,due_10_days
1998-04-23,16,4,1998,Gulf,22,45.0,48.0
1998-04-23,16,4,1998,PNW,19,,
1998-04-30,17,4,1998,Gulf,19,37.0,61.0
1998-04-30,17,4,1998,PNW,5,,
1998-05-07,18,5,1998,PNW,7,,
1998-05-07,18,5,1998,Gulf,24,35.0,45.0
1998-05-14,19,5,1998,PNW,13,,
1998-05-14,19,5,1998,Gulf,33,42.0,50.0
1998-05-21,20,5,1998,PNW,10,,
1998-05-21,20,5,1998,Gulf,26,45.0,40.0
1998-05-28,21,5,1998,Gulf,28,37.0,47.0
1998-05-28,21,5,1998,PNW,7,,
1998-06-04,22,6,1998,Gulf,22,48.0,50.0
1998-06-04,22,6,1998,PNW,7,,
1998-06-11,23,6,1998,PNW,7,,
1998-06-11,23,6,1998,Gulf,26,38.0,50.0
1998-06-18,24,6,1998,PNW,7,,
1998-06-18,24,6,1998,Gulf,23,49.0,56.0
1998-06-25,25,6,1998,PNW,7,,
1998-06-25,25,6,1998,Gulf,27,40.0,59.0
1998-07-02,26,6,1998,PNW,6,,
1998-07-02,26,6,1998,Gulf,29,47.0,58.0
1998-07-09,27,7,1998,Gulf,30,46.0,55.0
1998-07-09,27,7,1998,PNW,6,,
1998-07-16,28,7,1998,PNW,6,,
1998-07-16,28,7,1998,Gulf,37,44.0,50.0
1998-07-23,29,7,1998,PNW,6,,
1998-07-23,29,7,1998,Gulf,25,45.0,50.0
1998-07-30,30,7,1998,PNW,6,,
1998-07-30,30,7,1998,Gulf,29,43.0,42.0
1998-08-06,31,8,1998,PNW,10,,
1998-08-06,31,8,1998,Gulf,35,54.0,59.0
1998-08-13,32,8,1998,PNW,13,,
1998-08-13,32,8,1998,Gulf,29,49.0,58.0
1998-08-20,33,8,1998,PNW,11,,
1998-08-20,33,8,1998,Gulf,38,53.0,49.0
1998-08-27,34,8,1998,PNW,8,,
1998-08-27,34,8,1998,Gulf,31,48.0,60.0
1998-09-03,35,8,1998,PNW,8,,
1998-09-03,35,8,1998,Gulf,29,50.0,67.0
1998-09-10,36,9,1998,Gulf,41,46.0,53.0
1998-09-10,36,9,1998,PNW,9,,
1998-09-17,37,9,1998,PNW,12,,
1998-09-17,37,9,1998,Gulf,49,42.0,59.0
1998-09-24,38,9,1998,PNW,10,,
1998-09-24,38,9,1998,Gulf,45,51.0,64.0
1998-10-01,39,9,1998,PNW,7,,
1998-10-01,39,9,1998,Gulf,48,34.0,58.0
1998-10-08,40,10,1998,PNW,7,,
1998-10-08,40,10,1998,Gulf,54,46.0,71.0
1998-10-15,41,10,1998,Gulf,46,54.0,77.0
1998-10-15,41,10,1998,PNW,17,,
1998-10-22,42,10,1998,PNW,12,,
1998-10-22,42,10,1998,Gulf,60,52.0,81.0
1998-10-29,43,10,1998,PNW,9,,
1998-10-29,43,10,1998,Gulf,61,55.0,93.0
1998-11-05,44,11,1998,PNW,13,,
1998-11-05,44,11,1998,Gulf,53,59.0,68.0
1998-11-12,45,11,1998,PNW,15,,
1998-11-12,45,11,1998,Gulf,47,62.0,66.0
1998-11-19,46,11,1998,PNW,13,,
1998-11-19,46,11,1998,Gulf,39,55.0,76.0
1998-11-26,47,11,1998,Gulf,42,55.0,74.0
1998-11-26,47,11,1998,PNW,17,,
1998-12-03,48,11,1998,PNW,15,,
1998-12-03,48,11,1998,Gulf,49,51.0,83.0
1998-12-10,49,12,1998,PNW,12,,
1998-12-10,49,12,1998,Gulf,43,53.0,80.0
1998-12-17,50,12,1998,PNW,10,,
1998-12-17,50,12,1998,Gulf,44,64.0,71.0
1998-12-24,51,12,1998,PNW,14,,
1998-12-24,51,12,1998,Gulf,19,56.0,42.0
1998-12-31,52,12,1998,Gulf,30,48.0,55.0
1998-12-31,52,12,1998,PNW,12,,
1999-01-07,1,1,1999,PNW,11,,
1999-01-07,1,1,1999,Gulf,41,41.0,76.0
1999-01-14,2,1,1999,PNW,14,,
1999-01-14,2,1,1999,Gulf,36,53.0,67.0
1999-01-21,3,1,1999,PNW,12,,
1999-01-21,3,1,1999,Gulf,42,41.0,55.0
1999-01-28,4,1,1999,PNW,11,,
1999-01-28,4,1,1999,Gulf,40,49.0,62.0
1999-02-04,5,2,1999,PNW,11,,
1999-02-04,5,2,1999,Gulf,39,50.0,63.0
1999-02-11,6,2,1999,PNW,9,,
1999-02-11,6,2,1999,Gulf,45,54.0,73.0
1999-02-18,7,2,1999,Gulf,47,51.0,71.0
1999-02-18,7,2,1999,PNW,13,,
1999-02-25,8,2,1999,PNW,16,,
1999-02-25,8,2,1999,Gulf,46,64.0,61.0
1999-03-04,9,3,1999,PNW,10,,
1999-03-04,9,3,1999,Gulf,32,61.0,67.0
1999-03-11,10,3,1999,PNW,7,,
1999-03-11,10,3,1999,Gulf,29,51.0,71.0
1999-03-18,11,3,1999,PNW,8,,
1999-03-18,11,3,1999,Gulf,28,44.0,57.0
1999-03-25,12,3,1999,Gulf,30,55.0,68.0
1999-03-25,12,3,1999,PNW,7,,
1999-04-01,13,3,1999,PNW,8,,
1999-04-01,13,3,1999,Gulf,34,48.0,53.0
1999-04-08,14,4,1999,PNW,8,,
1999-04-08,14,4,1999,Gulf,27,44.0,57.0
1999-04-15,15,4,1999,PNW,10,,
1999-04-15,15,4,1999,Gulf,21,50.0,62.0
1999-04-22,16,4,1999,PNW,12,,
1999-04-22,16,4,1999,Gulf,14,44.0,68.0
1999-04-29,17,4,1999,PNW,13,,
1999-04-29,17,4,1999,Gulf,20,52.0,64.0
1999-05-06,18,5,1999,Gulf,22,52.0,52.0
1999-05-06,18,5,1999,PNW,10,,
1999-05-13,19,5,1999,Gulf,29,39.0,64.0
1999-05-13,19,5,1999,PNW,9,,
1999-05-20,20,5,1999,PNW,11,,
1999-05-20,20,5,1999,Gulf,28,55.0,70.0
1999-05-27,21,5,1999,PNW,11,,
1999-05-27,21,5,1999,Gulf,25,50.0,59.0
1999-06-03,22,5,1999,PNW,7,,
1999-06-03,22,5,1999,Gulf,33,49.0,60.0
1999-06-10,23,6,1999,PNW,6,,
1999-06-10,23,6,1999,Gulf,24,54.0,65.0
1999-06-17,24,6,1999,Gulf,27,49.0,76.0
1999-06-17,24,6,1999,PNW,10,,
1999-06-24,25,6,1999,PNW,8,,
1999-06-24,25,6,1999,Gulf,29,52.0,68.0
1999-07-01,26,6,1999,PNW,10,,
1999-07-01,26,6,1999,Gulf,33,50.0,59.0
1999-07-08,27,7,1999,PNW,11,,
1999-07-08,27,7,1999,Gulf,36,46.0,58.0
1999-07-15,28,7,1999,PNW,7,,
1999-07-15,28,7,1999,Gulf,27,49.0,59.0
1999-07-22,29,7,1999,PNW,11,,
1999-07-22,29,7,1999,Gulf,26,45.0,64.0
1999-07-29,30,7,1999,PNW,16,,
1999-07-29,30,7,1999,Gulf,33,62.0,76.0
1999-08-05,31,8,1999,PNW,11,,
1999-08-05,31,8,1999,Gulf,32,56.0,67.0
1999-08-12,32,8,1999,Gulf,35,51.0,73.0
1999-08-12,32,8,1999,PNW,10,,
1999-08-19,33,8,1999,PNW,10,,
1999-08-19,33,8,1999,Gulf,31,51.0,59.0
1999-08-26,34,8,1999,PNW,6,,
1999-08-26,34,8,1999,Gulf,41,58.0,74.0
1999-09-02,35,8,1999,PNW,9,,
1999-09-02,35,8,1999,Gulf,44,54.0,61.0
1999-09-09,36,9,1999,PNW,9,,
1999-09-09,36,9,1999,Gulf,36,56.0,71.0
1999-09-16,37,9,1999,Gulf,31,58.0,64.0
1999-09-16,37,9,1999,PNW,8,,
1999-09-23,38,9,1999,PNW,7,,
1999-09-23,38,9,1999,Gulf,32,65.0,78.0
1999-09-30,39,9,1999,PNW,10,,
1999-09-30,39,9,1999,Gulf,32,53.0,70.0
1999-10-07,40,10,1999,PNW,13,,
1999-10-07,40,10,1999,Gulf,34,53.0,75.0
1999-10-14,41,10,1999,PNW,9,,
1999-10-14,41,10,1999,Gulf,32,63.0,80.0
1999-10-21,42,10,1999,PNW,18,,
1999-10-21,42,10,1999,Gulf,31,56.0,66.0
1999-10-28,43,10,1999,Gulf,23,59.0,58.0
1999-10-28,43,10,1999,PNW,16,,
1999-11-04,44,11,1999,PNW,10,,
1999-11-04,44,11,1999,Gulf,37,51.0,76.0
1999-11-11,45,11,1999,PNW,9,,
1999-11-11,45,11,1999,Gulf,36,59.0,61.0
1999-11-18,46,11,1999,PNW,10,,
1999-11-18,46,11,1999,Gulf,23,57.0,75.0
1999-11-25,47,11,1999,PNW,9,,
1999-11-25,47,11,1999,Gulf,21,60.0,66.0
1999-12-02,48,11,1999,Gulf,31,47.0,55.0
1999-12-02,48,11,1999,PNW,9,,
1999-12-09,49,12,1999,PNW,9,,
1999-12-09,49,12,1999,Gulf,32,53.0,74.0
1999-12-16,50,12,1999,PNW,9,,
