date,port,basin,total_tonnes,share_of_national_pct,source_url
2023-07-01,SAN LORENZO,Up-River Parana,10701110.0,71.56,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
2023-07-01,SAN PEDRO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
2023-07-01,VILLA CONSTITUCIÓN,Up-River Parana,48050.0,0.32,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
2023-07-01,ZARATE,Up-River Parana,18654.0,0.12,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
2023-08-01,BAHIA BLANCA,Ocean Deepwater,749874.0,11.73,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-08-01,NECOCHEA,Ocean Deepwater,383043.0,5.99,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-08-01,RAMALLO,Up-River Parana,25623.0,0.4,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-08-01,ROSARIO,Up-River Parana,1131892.0,17.7,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-08-01,SAN LORENZO,Up-River Parana,3987862.0,62.36,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-08-01,SAN PEDRO,Up-River Parana,24290.0,0.38,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-08-01,VILLA CONSTITUCIÓN,Up-River Parana,17954.0,0.28,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-08-01,ZARATE,Up-River Parana,74321.0,1.16,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php
2023-09-01,BAHIA BLANCA,Ocean Deepwater,706184.0,13.54,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-09-01,NECOCHEA,Ocean Deepwater,675374.0,12.95,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-09-01,RAMALLO,Up-River Parana,49300.0,0.95,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-09-01,ROSARIO,Up-River Parana,1044990.0,20.04,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-09-01,SAN LORENZO,Up-River Parana,2635448.0,50.54,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-09-01,SAN PEDRO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-09-01,VILLA CONSTITUCIÓN,Up-River Parana,82021.0,1.57,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-09-01,ZARATE,Up-River Parana,21496.0,0.41,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php
2023-10-01,BAHIA BLANCA,Ocean Deepwater,427818.0,11.74,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-10-01,NECOCHEA,Ocean Deepwater,476040.0,13.07,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-10-01,RAMALLO,Up-River Parana,53980.0,1.48,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-10-01,ROSARIO,Up-River Parana,739099.0,20.29,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-10-01,SAN LORENZO,Up-River Parana,1822993.0,50.04,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-10-01,SAN PEDRO,Up-River Parana,69009.0,1.89,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-10-01,VILLA CONSTITUCIÓN,Up-River Parana,14916.0,0.41,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-10-01,ZARATE,Up-River Parana,39285.0,1.08,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php
2023-11-01,BAHIA BLANCA,Ocean Deepwater,150003.0,4.9,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-11-01,NECOCHEA,Ocean Deepwater,346386.0,11.31,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-11-01,RAMALLO,Up-River Parana,12838.0,0.42,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-11-01,ROSARIO,Up-River Parana,400730.0,13.08,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-11-01,SAN LORENZO,Up-River Parana,2078705.0,67.87,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-11-01,SAN PEDRO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-11-01,VILLA CONSTITUCIÓN,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-11-01,ZARATE,Up-River Parana,74322.0,2.43,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php
2023-12-01,BAHIA BLANCA,Ocean Deepwater,356248.0,9.84,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
2023-12-01,NECOCHEA,Ocean Deepwater,179620.0,4.96,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
2023-12-01,RAMALLO,Up-River Parana,47746.0,1.32,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
